№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
40,Система,—,—,Передать документы на хранение в архив,—,"Система передает документы на хранение в архив. Документы гражданских служащих (граждан), не допущенных к участию в конкурсе, и кандидатов, которым было отказано во включении в кадровый резерв, могут быть возвращены им по письменному заявлению в течение трех лет со дня завершения конкурса. До истечения этого срока документы хранятся в архиве государственного органа, после чего подлежат уничтожению. Документы для участия в конкурсе, представленные в электронном виде, хранятся в течение трех лет, после чего подлежат удалению."
41,Сотрудник отдела кадров,—,—,Кандидату отказано во включении в кадровый резерв. Завершающее событие,—,Кандидату отказано во включении в кадровый резерв. Завершение процесса.
42,Сотрудник отдела кадров,—,—,Передать список для включения в кадровый резерв,Не позднее 14 дней со дня принятия решения конкурсной комиссией,Сотрудник отдела кадров передает список для включения в кадровый резерв председателю суда
43,Председатель/заместитель председателя,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 21-го, 42-го шага"
44,Председатель/заместитель председателя,—,Приказ о включении в кадровый резерв,ОБП37:Принять приказ по кадровому вопросу,—,"Переход к ОБП37:Принять приказ по кадровому вопросу, результатом которого будет принятый приказ о включении в кадровый резервДобавить приказ в личное дело"
45,Система,—,—,Направить копию приказа сотруднику/гражданину,—,Система автоматически направляет копию приказа сотруднику/гражданину
46,Система,—,—,Добавить приказ в личное дело,—,Система автоматически добавляет приказ в личное дело
47,Система,—,—,"Разместить сведения о сотрудниках/гражданах, включенных в резерв",Не реже двух раз в год,"Система автоматически размещает на сайте суда сведения о сотрудниках/гражданах, включенных в резерв"
48,Сотрудник отдела кадров,—,—,Осуществлять сопровождение резервистов,—,Сотрудник отдела кадров осуществляет сопровождение резервистов
49,Сотрудник отдела кадров,—,—,Пересматривать и дополнять резерв,—,Сотрудник отдела кадров пересматривает и дополняет резерв не реже 2 раз в год
50,Сотрудник отдела кадров,—,—,Кадровый резерв сформирован. Завершающее событие,—,Кадровый резерв сформирован. Завершение процесса
