№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
20,Система,-,-,Ожидать обработки пакета данных,-,Система ждёт ответ от гос. органа через брокер сообщений
21,Отдел делопроизводства/сотрудник суда,-,Решение,Пакет данных обработан в срок? Эксклюзивный шлюз,"Не позднее дня, следующего за формированием комплекта",Если ДА → шаг 22. Если НЕТ → шаг 25
22,Система,-,-,Получить данные об обработке пакета из брокера сообщений,-,Система получает и парсит ответное сообщение от гос. органа
23,Система,-,-,Уведомить пользователя об успешном направлении документа,-,"Система создаёт уведомление о том, что документ принят гос. органом"
24,Отдел делопроизводства/сотрудник суда,-,-,Документ направлен через интеграцию успешно,-,Завершение ветки. Документ передан и принят гос. органом
25,Система,-,-,Уведомить пользователя о не успешном отправлении,-,Система создаёт уведомление об ошибке доставки
26,Отдел делопроизводства/сотрудник суда,-,-,Документ нуждается в повторном отправлении,-,Завершение ветки с ошибкой. Требуется повторная отправка
27,Отдел делопроизводства/сотрудник суда,-,Решение,Требуется направить документ по факсу? Эксклюзивный шлюз,-,Если ДА → шаг 28. Если НЕТ → шаг 42
28,Отдел делопроизводства/сотрудник суда,-,Решение,Система знает необходимый номер факса? Эксклюзивный шлюз,-,Если ДА → шаг 29. Если НЕТ → шаг 30
29,Система,-,-,Набрать факс-номер адресата,-,Система автоматически использует сохранённый номер факса из справочника
30,Помощник судьи,-,-,Набрать факс-номер адресата,-,Пользователь вручную вводит номер факса адресата
31,Система,-,-,Сохранить номер и связать с участником,-,Система сохраняет введённый номер в справочник адресатов
32,Отдел делопроизводства/сотрудник суда,-,-,Эксклюзивный закрывающий шлюз,-,Объединение потоков шагов 29 и 31
33,Система,-,-,Отправить факс,-,Система отправляет документ по факсимильной связи на указанный номер
34,Система,-,-,Получить подтверждение отправки,-,Система получает статус доставки факса от факс-сервера
35,Отдел делопроизводства/сотрудник суда,-,Решение,Факс отправлен успешно? Эксклюзивный шлюз,-,Если ДА → шаг 37. Если НЕТ → шаг 36
36,Отдел делопроизводства/сотрудник суда,-,Решение,Необходимо направить повторно? Эксклюзивный шлюз,-,Если ДА → шаг 40. Если НЕТ → шаг 37
37,Отдел делопроизводства/сотрудник суда,-,-,Эксклюзивный закрывающий шлюз,-,Объединение потоков шагов 35 и 36
38,Система,-,-,Сохранить данные об отправлении,-,"Система фиксирует в ИС: номер факса, дата, время, статус доставки"
39,Отдел делопроизводства/сотрудник суда,-,-,Факс отправлен,-,Завершение ветки факса. Документ отправлен и данные сохранены
40,Система,-,-,Сохранить данные об отправлении,-,Система логирует попытку повтора факса
41,Отдел делопроизводства/сотрудник суда,-,-,Переход к шагу 33 Отправить факс,-,Link Event переводит процесс к повторной отправке факса
42,Отдел делопроизводства/сотрудник суда,-,Решение,Требуется направить телеграмму? Эксклюзивный шлюз,-,Если ДА → шаг 43. Если НЕТ → шаг 49
43,Система,-,-,Составить текст телеграммы,-,Система формирует текст телеграммы на основе параметров дела
44,Отдел делопроизводства/сотрудник суда,-,-,Проверить выводы системы,-,Пользователь проверяет и корректирует текст телеграммы
45,Система,-,-,Направить через онлайн-сервис ФГУП Почта России,-,Система отправляет телеграмму через API Почты России
46,Система,-,-,Ожидать доставки,-,Система отслеживает доставку телеграммы
47,Система,-,-,Сохранить данные об отправлении,-,"Система фиксирует в ИС: номер телеграммы, время, статус доставки"
48,Отдел делопроизводства/сотрудник суда,-,-,Телеграмма направлена,-,Завершение ветки. Телеграмма отправлена и зафиксирована
49,Отдел делопроизводства/сотрудник суда,-,Решение,Требуется направить телефонограмму? Эксклюзивный шлюз,-,Если ДА → шаг 50. Если НЕТ → шаг 60
50,Отдел делопроизводства/сотрудник суда,-,Решение,Система знает необходимый номер телефона? Эксклюзивный шлюз,-,Если ДА → шаг 51. Если НЕТ → шаг 52
51,Система,-,-,Взять номер телефона из материалов дела,-,Система автоматически использует сохранённый номер телефона из справочника
52,Помощник судьи,-,-,Внести необходимый номер,-,Пользователь вручную вводит номер телефона адресата
53,Система,-,-,Сохранить номер для участника,-,Система сохраняет номер телефона в справочник адресатов
54,Отдел делопроизводства/сотрудник суда,-,-,Эксклюзивный закрывающий шлюз,-,Объединение потоков шагов 51 и 53
55,Система,-,-,Совершить звонок,-,Система совершает звонок с использованием речевого синтеза (IVR-бот)
56,Система,-,-,Передать информацию,-,"Система зачитывает информацию голосом, получатель подтверждает нажатием кнопки"
57,Система,-,-,Зафиксировать факт звонка в виде телефонограммы,-,Система автоматически формирует подписанную телефонограмму
58,Система,-,-,Приобщить телефонограмму к материалам дела,-,Система автоматически прикрепляет телефонограмму к карточке дела в ИС
59,Отдел делопроизводства/сотрудник суда,-,-,Телефонограмма направлена,-,Завершение ветки. Телефонограмма сформирована и приобщена к делу
60,Отдел делопроизводства/сотрудник суда,-,Решение,Требуется направить по e-mail? Эксклюзивный шлюз,-,Если ДА → шаг 61. Если НЕТ → шаг 69
61,Система,-,-,Создать электронное письмо,-,Система составляет письмо из шаблона с автоподстановкой реквизитов
62,Система,-,-,"Прикрепить документ, подписанный ЭЦП",-,"Система прикрепляет к письму документ, подписанный электронной цифровой подписью"
63,Отдел делопроизводства/сотрудник суда,-,-,Проверить выводы системы,-,Пользователь проверяет текст письма и вложения перед отправкой
64,Отдел делопроизводства/сотрудник суда,-,-,Направить по электронной почте,-,Система отправляет письмо по электронной почте на адрес адресата
65,Система,-,-,Ожидание доставки,-,"Система отслеживает статус доставки письма (отправлено, доставлено, прочитано)"
66,Отдел делопроизводства/сотрудник суда,-,-,Получить сведения о доставке в виде отчета,-,Система формирует отчет о доставке письма
67,Система,-,-,Сохранить данные об отправлении,-,"Система фиксирует в ИС: адрес, дату, время отправки, статус доставки, копию письма"
68,Отдел делопроизводства/сотрудник суда,-,-,Документ отправлен по e-mail,-,Завершение ветки. Письмо отправлено и зафиксировано
69,Система,-,-,Сформировать отправление гибридной почтой,-,"Система формирует пакет для гибридной почты: документ, конверт, реестр 103-Ф"
70,Отдел делопроизводства/сотрудник суда,-,-,Проверить выводы системы,-,"Пользователь проверяет адрес, тариф, согласованность данных перед отправкой"
71,Канцелярия/экспедиция/отдел делопроизводства,-,-,Передать в Почту России,"Не позднее дня, следующего за формированием комплекта","Сотрудник сдает заказные отправления и реестр оператору Почты России, получает отметку о приеме"
72,Система,-,-,Ожидание доставки,-,Система отслеживает статус доставки гибридного письма через API Почты России
73,Система,-,-,Сохранить данные об отправлении,-,"Система фиксирует в ИС: трек-номер, дату, статус доставки, скан квитанции"
74,Канцелярия/экспедиция/отдел делопроизводства,-,-,Документ отправлен гибридной почтой,-,"Завершение процесса. Документ направлен гибридной почтой, все данные в ИС, занесено в журнал исходящей корреспонденции"
