№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
10,Руководители структурных подразделений,Проект акта,Замечания,Передать замечания,-,"Замечания по проекту локального акта оформляются должностным лицом в виде отдельного документа, в котором указываются спорные пункты данного проекта, и предлагается (по возможности) их новая редакция. Замечания прилагаются к проекту локального акта. При этом должностное лицо визирует проект локального акта и указывает в нем ""с замечаниями"". (ст. 34 Инструкции)Руководители структурных подразделений передают сотруднику сформированные замечания для внесения корректировок."
11,Руководители структурных подразделений,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 10-го, 20-го шага"
12,Руководители структурных подразделений,Лист согласования,Проект акта,Поставить визу согласования,-,Руководители структурных подразделений выполняет задачу: 'Поставить визу согласования'.
13,Система,—,Проект акта,Передать акта на утверждение председателю,—,Система выполняет задачу: 'Передать акт на утверждение председателю'.
14,Сотрудник ответственный за подготовку локального акта,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 13-го шага"
15,Сотрудник ответственный за подготовку локального акта,Проект акта,Порядок утверждения акта,Определить порядок утверждения акта,—,Сотрудник ответственный за подготовку локального акта выполняет задачу: 'Определить порядок утверждения акта'.
16,Сотрудник ответственный за подготовку локального акта,Порядок утверждения акта,"",Какой порядок утверждения акта? Эксклюзивный открывающий шлюз,—,Какой порядок утверждения акта? Утверждается председателем суда: переход к шагу 26;Утверждается руководителем структурного подразделения/заместителем председателя суда: переход к шагу 17; Утверждается Президиумом суда: переход к шагу 49
17,Руководители структурных подразделений,Проект акта,—,Ознакомиться с проектом акта,-,Руководители структурных подразделений выполняет задачу: 'Ознакомиться с проектом акта'.
18,Руководители структурных подразделений,Проект акта,—,Рассмотреть и согласовать проект акта,—,Руководители структурных подразделений выполняет задачу: 'Рассмотреть и согласовать проект акта'.
19,Руководители структурных подразделений,—,—,Проект согласован? Эксклюзивный открывающий шлюз,—,"Проект согласован?Если да, то переход к шагу 21. Если нет, то переход к шагу 20"
20,Руководители структурных подразделений,Проект акта,Список замечаний,Передать замечания,-,Руководители структурных подразделений выполняет задачу: 'Передать замечания'.
21,Руководители структурных подразделений,Проект акта,Утвержденный акт,Принять локальный акт,-,Руководители структурных подразделений выполняет задачу: 'Принять локальный акт'.
22,Руководители структурных подразделений,Утвержденный акт,—,Зарегистрировать акт,-,Руководители структурных подразделений выполняет задачу: 'Зарегистрировать акт'.
23,Система,Утвержденный акт,Лист ознакомления,Ознакомить сотрудников структурного подразделения,-,"Система знакомит сотрудников с утвержденным актом, сотрудники ставят отметки об ознакомлении."
24,Система,Утвержденный акт,—,Подшить акт в номенклатурное дело,-,Система выполняет задачу: 'Подшить акт в номенклатурное дело'.
25,Руководители структурных подразделений,—,—,"Локальный акт принят, сотрудники структурного подразделения ознакомлены, акт",—,"Локальный акт принят, сотрудники структурного подразделения ознакомлены."
26,Председатель суда,Проект акта,—,Ознакомиться с проектом акта,-,Председатель суда знакомиться с проектом акта
27,Председатель суда,Проект акта,—,Рассмотреть и согласовать проект акта,-,Председатель суда выполняет задачу: 'Рассмотреть и согласовать проект акта'.
28,Председатель суда,—,—,Проект согласован?Эксклюзивный открывающий шлюз,—,"Проект согласован?Если да, то переход к шагу 31. Если нет, то переход к шагу 29"
29,Председатель суда,Проект акта,Список замечаний,Передать замечания,-,Председатель суда выполняет задачу: 'Передать замечания'.
30,Председатель суда,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 29-го, 58-го шага"
31,Председатель суда,Проект акта,Проект акта (согласован),Поставить визу согласования,-,Председатель суда согласовывает документ.
32,Лицо ответственное за ведение бланков строгой отчетности,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 31-го, 57-го шага"
33,Лицо ответственное за ведение бланков строгой отчетности,Проект акта,—,Распечатать на бланке строгой отчетности,—,Распечатать Проект акта на бланке строгой отчетности
34,Лицо ответственное за ведение бланков строгой отчетности,Проект акта,Журнал учета бланков,Внести запись в журнал учета бланков,-,Внести запись в журнал учета бланков
35,Лицо ответственное за ведение бланков строгой отчетности,Проект акта,Проект акта,Передать на подпись,—,Передать на подпись
36,Председатель суда,Проект акта,Утвержденный акт,Принять локальный акт,—,Председатель суда подписывает и принимает локальный акт.
37,Лицо ответственное за ведение бланков строгой отчетности,Утвержденный акт,Утвержденный акт (зарегистрирован),Зарегистрировать акт,-,Лицо ответственное за ведение бланков строгой отчетности выполняют задачу: 'Зарегистрировать акт'.
38,Лицо ответственное за ведение бланков строгой отчетности,Утвержденный акт,Решение о публикации,Определить необходимость публикации,-,Лицо ответственное за ведение бланков строгой отчетности выполняют задачу: 'Определить необходимость публикации'.
39,Лицо ответственное за ведение бланков строгой отчетности,Решение о публикации,—,Необходимо опубликовать локальный акт? Эксклюзивный открывающий шлюз,—,"Необходимо опубликовать локальный акт?Если да, то переход к шагу 40. Если нет, то переход к шагу 46"
40,Лицо ответственное за ведение бланков строгой отчетности,—,—,Отсканировать акт,—,Отсканировать акт
41,Лицо ответственное за ведение бланков строгой отчетности,-,-,Опубликовать акт,-,Опубликовать акт
42,Система,—,-,Уведомить сотрудников суда о публикации акта,-,Система выполняет задачу: 'Уведомить сотрудников суда о публикации акта'.
43,Лицо ответственное за ведение бланков строгой отчетности,-,-,Определить место хранения акта,-,Лицо ответственное за ведение бланков строгой отчетности выполняют задачу: 'Определить место хранения акта'.
44,Система,Утвержденный акт,-,Подшить в номенклатурное дело,-,Система выполняет задачу: 'Подшить в номенклатурное дело'.
45,Лицо ответственное за ведение бланков строгой отчетности,—,—,Локальный акт принят и опубликован. Сотрудники ознакомлены.,—,Локальный акт принят и опубликован. Сотрудники ознакомлены.
46,Лицо ответственное за ведение бланков строгой отчетности,-,-,Передать акт в подразделение суда по компетенции,-,Передать акт в подразделение суда по компетенции
47,Система,-,-,Подшить акт в номенклатурное дело,-,Подшить акт в номенклатурное дело
48,Сотрудник ответственный за подготовку локального акта,—,—,Локальный акт принят и подшит в номенклатурное дело.,—,Локальный акт принят и подшит в номенклатурное дело.
49,Председатель суда,-,Повестка заседания Президиума суда,Включить в повестку заседания Президиума,-,Включить в повестку заседания Президиума
50,Председатель суда,—,—,Открыть заседание Президиума суда,—,Открыть заседание Президиума суда
51,Президиумом суда,—,—,Заслушать докладчика об утверждении акта,—,Заслушать докладчика об утверждении акта
52,Президиумом суда,—,—,Заслушать членов Президиума суда,—,Заслушать членов Президиума суда
53,Президиумом суда,—,—,Проголосовать по вопросу утверждения акта,—,Проголосовать по вопросу утверждения акта
54,Президиумом суда,—,—,Определить наличие кворума,—,Определить наличие кворума
55,Президиумом суда,—,Протокол заседания  Президиума суда,Подсчитать голоса участников,—,Подсчитать голоса участников
56,Президиумом суда,—,—,Принять решение об утверждении,—,Президиумом суда выполняет задачу: 'Принять решение об утверждении'.
57,Президиумом суда,—,—,Президиум суда утвердил локальный акт? Эксклюзивный открывающий шлюз,—,"Президиум суда утвердил локальный акт? Если да, то переход к шагу 32. Если нет, то переход к шагу 58"
58,Президиумом суда,—,Замечания,Сформировать и передать замечания,—,Президиумом суда выполняет задачу: 'Сформировать и передать замечания'.
