№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
19,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,Уведомление о перенаправлении обращении,ТБП106.Передать документ,—,"Переход к типовому процессу ТБП106.Передать документ, результатом которого будет, документ передается на рассмотрение председателю судебной коллегии"
20,Система,—,—,Закрыть задачу на обработку,—,Система закрывает задачу
21,Система,—,—,Создать задачу на рассмотрение,—,Система создает задачу
22,Приемная председателя суда/ заместитель председателя суда,—,—,Ознакомиться с обращением,—,"Председатель суда или помощник изучает обращение, определяет дальнейшие действия"
23,Приемная председателя суда/ заместитель председателя суда,—,"",Внепроцессуальное обращение?. Эксклюзивный открывающий шлюз,—,"Определяется, является ли обращение внепроцессуальным и подлежит ли публикации; Если да, то переход к шагу 24. Если нет, то переход к шагу 30"
24,Приемная председателя суда/ заместитель председателя суда,—,—,Принять решение о публикации,—,Формируется решение о публикации обращения на сайте суда
25,Приемная председателя суда/ заместитель председателя суда,—,"",Параллельный открывающий шлюз,—,"Одновременно запускаются задачи передачи обращения на публикацию и переход к дальнейшему рассмотрению. Параллельный открывающий шлюз, разделяющий поток на 26-й, 30-й шаги"
26,Приемная председателя суда/ заместитель председателя суда,—,Обращение с визой о публикации,Передать обращение для публикации,Не позднее следующего рабочего дня с даты регистрации,Обращение и решение передаются исполнителю публикации; таймер гарантирует соблюдение срока
27,Система,—,—,Опубликовать обращение на сайте,—,"Исполнитель размещает обращение на сайте суда, фиксирует ссылку и дату публикации"
28,Система,—,—,Закрыть задачу на рассмотрение,—,Передать ответ на обращение ответственному лицу
29,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Внепроцессуальное обращение опубликовано,До 30 дней с даты регистрации обращения,"Если коллегия не привлекается, ответ формирует приемная председателя суда. Согласно ч.1 ст.12 Федеральный закон от 02.05.2006 N 59-ФЗ: Письменное обращение, поступившее в государственный орган, орган местного самоуправления или должностному лицу в соответствии с их компетенцией, рассматривается в течение 30 дней со дня регистрации письменного обращения, за исключением случая, указанного в части 1.1 настоящей статьи."
30,Приемная председателя суда/ заместитель председателя суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 23-го, 25-го шага"
31,Приемная председателя суда/ заместитель председателя суда,—,"",Требуется ли передать на рассмотрение судебной коллегии?. Эксклюзивный открывающий шлюз,—,"При необходимости коллегиального рассмотрения документ отправляется в коллегию, иначе остается в приемной: Если да, то переход к шагу 32. Если нет, то переход к шагу 40"
32,Приемная председателя суда/ заместитель председателя суда,—,Обращение с резолюцией о передаче председателю судебной коллегии на рассмотрение,Направить в приемную председателя судебной коллегии,—,В приемную председателя судебной коллеги направляется Обращение с резолюцией о передаче председателю судебной коллегии на рассмотрение
33,Система,—,—,Закрыть задачу на рассмотрение,Не позднее допустимого срока рассмотрения,Система закрывает задачу
34,Приемная председателя судебной коллегии,—,"",Эксклюзивный закрывающий шлюз,—,"Приемная судебной коллегии получает документы из разных источников, Эксклюзивный закрывающий шлюз, объединяющий потоки из 12-го, 33-го шага"
35,Система,—,—,Создать задачу на рассмотрение СК,—,"Выбирается, должен ли документ пройти через приемную председателя суда Да: переход к шагу 14, Нет: переход к шагу 9"
36,Приемная председателя судебной коллегии,—,—,Ознакомиться с обращением,—,Председатель судебной коллегии или его помощник изучает материалы обращения
37,Приемная председателя судебной коллегии,—,Ответ на обращение,Подготовить ответ,—,"Разрабатывается текст ответа, учитывающий позицию коллегии. Согласно ч.1 ст.12 Федеральный закон от 02.05.2006 N 59-ФЗ: Письменное обращение, поступившее в государственный орган, орган местного самоуправления или должностному лицу в соответствии с их компетенцией, рассматривается в течение 30 дней со дня регистрации письменного обращения, за исключением случая, указанного в части 1.1 настоящей статьи."
38,Система,—,—,Передать ответ на обращение ответственному лицу,—,Система отправляет/публиккую готовый ответ
39,Система,—,—,Закрыть задачу на рассмотрение СК,—,Автоматическое выполнение: Закрыть задачу на рассмотрение СК
40,Приемная председателя суда/ заместитель председателя суда,—,Ответ на обращение,Подготовить ответ,—,"Если коллегия не привлекается, ответ формирует приемная председателя суда. Согласно ч.1 ст.12 Федеральный закон от 02.05.2006 N 59-ФЗ: Письменное обращение, поступившее в государственный орган, орган местного самоуправления или должностному лицу в соответствии с их компетенцией, рассматривается в течение 30 дней со дня регистрации письменного обращения, за исключением случая, указанного в части 1.1 настоящей статьи."
41,Система,—,—,Передать ответ на обращение ответственному лицу,—,Система отправляет/публиккую готовый ответ
42,Система,—,—,Закрыть задачу на рассмотрение,—,Автоматическое выполнение: Закрыть задачу на рассмотрение
43,Приемная председателя суда/ заместитель председателя суда,—,"",Эксклюзивный закрывающий шлюз,—,"Шлюз объединяет источники ответов перед определением способа доведения до заявителя. Эксклюзивный закрывающий шлюз, объединяющий потоки из 39-го, 42-го шага"
44,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,"",Ответ на внепроцессуальное обращение?. Эксклюзивный открывающий шлюз,—,"Определяется форма доведения ответа, требуется ли публичный ответ Если да, то переход к шагу 45. Если нет, то переход к шагу 46"
45,Система,—,—,Опубликовать ответ на обращение на сайте,Не позднее допустимого срока рассмотрения,"Ответ размещается на сайте суда, фиксируются дата и ссылка"
46,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Внепроцессуальное обращение? Эксклюзивный шлюз. Эксклюзивный закрывающий шлюз,—,"Определяется, является ли обращение внепроцессуальным и подлежит ли публикации; Эксклюзивный закрывающий шлюз, объединяющий потоки из 18-го, 44-го шага"
47,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,ТБП46.Направить документ,—,"Переход к типовому процессу ""Направить документ"". В результате данного ТП ответ направляется заявителю по каналам (почта, СМЭВ, личный кабинет)"
48,Система,—,—,Закрыть задачу на обработку,—,Автоматическое выполнение: Закрыть задачу на обработку
49,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Эксклюзивный закрывающий шлюз,—,"Сводит результаты ветвей публикации и направления ответа. Эксклюзивный закрывающий шлюз, объединяющий потоки из 45-го, 48-го шага"
50,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Ответ подготовлен и направлен,—,Ответ подготовлен и направлен
