Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
13,Система,—,—,У заявителя отсутствовало право на подачу заявления?Эксклюзивный шлюз.,—,"Определение об отказе во введении наблюдения и оставлении заявления о признании должника банкротом без рассмотрения выносится при условии, если не установлено ни одного условия из предусмотренных статьями 8 и 9 ФЗ условий.Ст. 8 и ст. 9 раскрывают положения, касающиеся права на подачу заявления о признании должника банкротом. (ст. 8 ФЗ: Должник вправе подать в арбитражный суд заявление должника в случае предвидения банкротства при наличии обстоятельств, очевидно свидетельствующих о том, что он не в состоянии будет исполнить денежные обязательства, требования о выплате выходных пособий и (или) об оплате труда лиц, работающих или работавших по трудовому договору, и (или) обязанность по уплате обязательных платежей в установленный срок.)Система проверяет, обладает ли заявителем правом на подачу в соответствии с указанными статьями."
14,Система,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
15,Система,—,—,Доказана неплатежеспособность должника?Эксклюзивный шлюз.,—,"Согласно ст. 2 ФЗ, неплатежеспособность — это прекращение исполнения должником части денежных обязательств или обязанностей по уплате обязательных платежей, вызванное недостаточностью денежных средств.Система проверяет, доказан ли факт неплатежеспособности должника. Если он не доказан, это является основанием для оставления заявления о признании должника банкротом без рассмотрения."
16,Система,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
17,Система,—,—,Задолженность носит спорный характер?Эксклюзивный шлюз.,—,"Система проверяет, носит ли задолженность должника спорный характер (то есть может ли она быть оспорена)"
18,Система,—,—,Переход к основной схеме в зависимости от процедуры банкротства,—,Переход к основной схеме в зависимости от процедуры банкротства. Оснований для оставления без рассмотрения не установлено.
19,Система,—,—,Должник оспаривает задолженность в порядке искового производства?Эксклюзивный шлюз.,—,Система проверяет наличие заявления должника об оспаривании задолженности в порядке искового производства.
20,Система,—,—,Переход к основной схеме в зависимости от процедуры банкротства,—,Переход к основной схеме в зависимости от процедуры банкротства. Оснований для оставления без рассмотрения не установлено.
21,Судья,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
22,Система,—,—,Закончить анализ и сформировать выводы,—,Система формирует отчет на основе проделанного анализа
23,Судья,—,—,Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
24,Судья,—,—,Необходимо распределить судебные расходы?Эксклюзивный шлюз.,—,"Судья определяет, необходимо ли распределить судебные расходы в соответствиями с положениями ст. 110 АПК РФ."
25,Судья,—,—,Взыскать/распределить судебные расходы,—,"Переход к типовому процессу «Взыскать/распределить судебные расходы», в рамках которого судья распределяет судебные расходы по делу между лицами в соответствии с правилами ст. 110 АПК РФ."
26,Судья,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
27,Судья,—,—,Необходимо разрешить вопросы обеспечительных мер?Эксклюзивный шлюз.,—,Судья проверяет необходимости рассмотрения вопроса об обеспечительных мерах.
28,Судья,—,—,Переход в процесс рассмотрения обеспечительных мер,—,Судья переходит к процессу рассмотрения обеспечительных мер.
29,Судья,—,—,Контроль полноты рассмотрения ходатайств и заявлений,—,"Переход к типовому процессу «Контроль полноты рассмотрения ходатайств и заявлений», в рамках которого осуществляет контроль за тем, чтобы все представленные сторонами документы были рассмотрены судом.Все не рассмотренные ходатайства и заявления показываются пользователю. Система не дает вынести решение, если есть не рассмотренные ходатайства или заявления в деле."
30,Судья,—,—,Все заявления рассмотрены?Эксклюзивный шлюз.,—,"Судья определяет, все ли заявления рассмотрены."
31,Судья,—,—,Требуется перейти в судебное разбирательство?Эксклюзивный шлюз.,—,Судья определяет необходимость перехода в судебное разбирательство в связи с наличием не рассмотренных заявлений от лиц.
32,Судья,—,—,Переход к основной схеме в зависимости от процедуры банкротства,—,Переход к основной схеме в зависимости от процедуры банкротства с проведением СЗ
33,Судья,—,—,Рассмотреть заявление по существу,—,"Переход к типовому процессу «Рассмотреть заявление по существу», в рамках которого судья рассматривает заявление лица по существу без проведения судебного заседания."
34,Судья,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
35,Судья,—,—,Необходимо дополнительное исследование доказательств или выяснение обстоятельств?Эксклюзивный шлюз.,—,Судья определяет необходимость дополнительного исследования доказательств или выяснения обстоятельств по делу в ходе СЗ.
36,Судья,—,—,Переход к основной схеме в зависимости от процедуры банкротства,—,Переход к основной схеме в зависимости от процедуры банкротства для дополнительного исследования доказательств или выяснения обстоятельств по делу
37,Судья,—,—,Дело о банкротстве продолжает рассматриваться?Эксклюзивный шлюз.,—,"Судья определяет, продолжает ли рассматриваться на момент принятия решения данное дело о банкротстве."
38,Система,—,—,Внести в СА последствия оставления без рассмотрения,—,Система вносит последствия оставления заявления без рассмотрения в определение согласно положениям ФЗ.
39,Судья,—,—,Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
40,Судья,—,Определение об оставлении заявления о признании должника банкротом без рассмотрения,Принять СА,—,Переход в типовой процесс «Принять СА».Судья формирует и подписывает определение об оставлении заявления о признании должника банкротом без рассмотрения с указанием последствий такого решения.Система формирует шаблон
41,Судья,—,Определение об оставлении заявления о признании должника банкротом без рассмотрения,Принять СА,—,Переход в типовой процесс «Принять СА».Судья формирует и подписывает определение об оставлении заявления о признании должника банкротом без рассмотрения.Система формирует шаблон
42,Судья,—,—,Параллельный шлюз.,—,Параллельный шлюз.
43,Судья,—,—,Переход к основной схеме в зависимости от процедуры банкротства,—,Судья продолжает рассматривать длящееся дело о банкротстве. Переход к основной схеме
44,Судья,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
45,Помощник судьи,—,Определение об оставлении заявления о признании должника банкротом без рассмотрения,Направить документ,—,Переход в типовой процесс «Направить документ».Помощник судьи направляет определение суда на ознакомление ЛУВД.
46,Помощник судьи,—,—,Завершение процесса.Рассмотрен вопрос об оставлении заявления о признании должника банкротом без рассмотрения,—,Завершение процесса. Определение направлено лицам на ознакомление
47,ЛУВД,Определение об оставлении заявления о признании должника банкротом без рассмотрения,—,Получено определение об оставлении заявления о признании должника банкротом без рассмотрения,—,ЛУВД получает определение суда.
48,ЛУВД,Определение об оставлении заявления о признании должника банкротом без рассмотрения,Дата и время ознакомления,Ознакомиться в ЛК,—,ЛУВД знакомится с определением суда.
49,Система,Дата и время ознакомления,Данные отправлены в систему арбитражного суда,Отправить время ознакомления,—,Система фиксирует дату и время ознакомления и отправляет данные в систему арбитражного суда
50,ЛУВД,—,—,Есть ли основание для обжалования?Эксклюзивный шлюз.,—,Определение может быть обжаловано в апелляционном порядке. ЛУВД решает вопрос об обжаловании.
51,ЛУВД,—,—,Переход к процессу апелляционного обжалования,—,ЛУВД переходит к процессу подачи апелляционной жалобы
52,ЛУВД,—,—,"Завершение процесса.Определение получено, ЛУВД ознакомлен",—,Завершение процесса. ЛУВД ознакомлено с определением.
