№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
20,Отдел кадров,—,Личное дело сотрудника,Пронумеровать все страницы личного дела,—,Сотрудник отдела кадров нумерует все страницы в личном деле.
21,Отдел кадров,—,Опись,Составить опись,—,"Сотрудник отдела кадров составляет опись всех документов, включенных в личное дело."
22,Отдел кадров,—,—,Изменилась инф-ия по сотруднику,—,"Сотрудник отдела кадров начинает вносить изменения в личное дело сотрудника (актуализировать личное дело) на бумажном носителе после изменения информации по сотруднику и предоставления им документов, подтверждающих эти изменения."
23,Отдел кадров,—,—,Подшить новые/измененные документы,—,Сотрудник отдела кадров подшивает в личное дело новые или измененные документы.
24,Отдел кадров,—,Актуализированное личное дело сотрудника,Дополнить опись,—,Сотрудник отдела кадров дополняет или меняет опись документов в личном деле.
25,Отдел кадров,—,—,Ознакомить сотрудника с изменениями под роспись,—,Сотрудник отдела кадров знакомит сотрудника с внесенными в личное дело изменениями под роспись.
26,Отдел кадров,—,—,Сотрудник уволился,—,Сотрудник отдела кадров начинает вносить изменения в личное дело сотрудника (актуализировать личное дело) на бумажном носителе после увольнения сотрудника.
27,Отдел кадров,—,—,Подшить приказ об увольнении,—,Сотрудник отдела кадров подшивает в личное дело приказ об увольнении сотрудника.
28,Отдел кадров,—,—,Подшить заявление сотрудника об увольнении/о переводе,—,Сотрудник отдела кадров подшивает в личное дело заявление сотрудника об увольнении/о переводе.
29,Отдел кадров,—,Актуализированное личное дело,Дополнить опись документами об увольнении,—,Сотрудник отдела кадров дополняет опись документами об увольнении.
30,Отдел кадров,—,—,Ознакомить сотрудника,—,Сотрудник отдела кадров знакомит сотрудника с изменениями в личном деле в связи с увольнением.
31,Отдел кадров,—,Реестр передачи,Подготовить дело к передаче в архив,—,Сотрудник отдела кадров инициирует процесс сдачи личного дела в архив после увольнения сотрудника.
32,Архивариус,"Реестр передачи, Личное дело сотрудника",—,Проверить правильность оформления личного дела,—,Архивариус проверяет корректность составления бумажного личного дела сотрудника.
33,Архивариус,—,—,ЛД оформлено корректно?. Эксклюзивный  шлюз,—,"Архивариус делает вывод о корректности составления личного дела.Если да — переход к шагу 37,Если нет — переход к шагу 34"
34,Архивариус,—,—,Передать ЛД для устранения недостатков,—,Архивариус передает личное дело обратно в отдел кадров для устранения недостатков оформления.
35,Отдел кадров,—,—,Устранить недостатки оформления,—,Сотрудник отдела кадров устраняет недостатки оформления личного дела согласно замечаниям архивариуса.
36,Отдел кадров,—,Новый реестр передачи,Вернуть дело в архив,—,Сотрудник отдела кадров возвращает скорректированное дело в архив.
37,Архивариус,—,—,Закрывающий шлюз.,—,Закрывающий шлюз.
38,Архивариус,—,—,Поставить подпись в реестре передачи,—,"Архивариус ставит свою подпись в реестре передачи, подтверждающую принятия личного дела в архив."
39,Архивариус,—,—,Принять дело в архив,—,Архивариус принимает личное дело сотрудника в архив.
40,Архивариус,—,—,Завершающее событие. Личное дело передано в архив,—,—
41,Отдел кадров,—,—,Изменилась инф-ия по сотруднику/сотрудник уволился,—,"Сотрудник отдела кадров начинает вносить изменения в электронное личное дело сотрудника (актуализировать личное дело) после изменения информации по сотруднику и предоставления им документов, подтверждающих эти изменения."
42,Отдел кадров,—,Актуализированное электронное личное дело сотрудника,Внести изменения в электронное личное дело сотрудника,—,Сотрудник отдела кадров вносит необходимые изменения в личное дело.
43,Отдел кадров,—,—,Отсканировать измененные/новые документы,—,Сотрудник отдела кадров сканирует новые или измененные персональные документы сотрудника.
44,Отдел кадров,—,—,Загрузить новые документы,—,Сотрудник отдела кадров загружает в электронное дело новые отсканированные документы.
45,Отдел кадров,—,—,Сотрудник уволился?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 46. Если нет, то переход к шагу 52"
46,Отдел кадров,—,—,Переместить личное дело в электронный архив,—,Сотрудник отдела кадров переносит электронное личное дело в электронный архив в ИС.
47,Отдел кадров,—,—,Завершение процесса. Личное дело перемещено в архив в связи с увольнением сотрудника,—,Личное дело перемещено в архив в связи с увольнением сотрудника
52,Отдел кадров,—,—,"Завершение процесса. Личное дело сформировано в подсистеме ""Кадры""",—,"Завершение процесса. Личное дело сформировано в подсистеме ""Кадры"""
