Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
"",Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление заявителю определения об отказе в выдаче исполнительного листа."
"",Канцелярия,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. СА исполнен добровольно.
"",Судья,-,-,"Закрывающий шлюз, объединяющий потоки шага 15 и шага 19 процесса.",-,"Закрывающий шлюз, объединяющий потоки шага 15 и шага 19 процесса."
"",Помощник судьи,-,-,Что является исполнительным документом?Эксклюзивный шлюз,-,"Помощник судьи смотрит, что является исполнительным документомЕсли исполнительный лист, то переход к шагу 27.Если судебный приказ, то переход к шагу 25"
"",Система,-,Электронная копия судебного приказа,Сформировать электронную копию судебного приказа ,-,Система формирует электронную копию судебного приказа
"",Система,"","",Проставить электронную гербовую печать ,"",Система проставляет электронную гербовую печать на судебном приказе (в виде штрих-кода)
"",Помощник судьи,-,-,СА принят в пользу нескольких истцов или против нескольких ответчиков/ исполнение должно быть произведено в различных местах/СА о взыскании денежных сумм с солидарных ответчиков?Эксклюзивный шлюз,-,"Помощник судьи смотрит СА принят в пользу нескольких истцов или против нескольких ответчиков или исполнение должно быть произведено в различных местах или СА о взыскании денежных сумм с солидарных ответчиков?Если «Да», то переход к шагу 29Если «Нет», то переход к шагу 28"
"",Помощник судьи,-,Исполнительный лист,Оформить исполнительный лист,-,"Переход к типовому процессу ""Оформить исполнительный лист"", результатом которого будет изготовленный в соответствии с требованиями закона исполнительный лист, готовый для направления/выдачи."
"",Помощник судьи,-,Необходимое количество ИЛ,Определить количество выдаваемых ИЛ,-,"Помощник судьи определяет количество выдаваемых исполнительных листов, если СА принят в пользу нескольких истцов или против нескольких ответчиков или исполнение должно быть произведено в различных местах или СА о взыскании денежных сумм с солидарных ответчиков. В этом случае изготавливается несколько ИЛ с точным указанием в каждом из них места исполнения или той части судебного акта, которая подлежит исполнению по данному исполнительному листу/либо кол-во ИЛ по числу солидарных ответчиков.Помощник судьи фиксирует количество ИЛ в системе."
"",Помощник судьи,-,Необходимое количество ИЛ,"Переход к типовому процессу ""Оформить исполнительный лист"",",-,"Переход к типовому процессу ""Оформить исполнительный лист"", результатом которого будут изготовленные в соответствии с требованиями закона исполнительные листы в необходимом количестве, готовые для направления/выдачи."
"",Помощник судьи,-,-,Закрывающий шлюз,-,Закрывающий шлюз
"",Помощник судьи,-,-,Закрывающий шлюз,-,Закрывающий шлюз
"",Судья,-,-,Есть воля взыскателя/установлено законом направление на исполнение судом?Эксклюзивный шлюз,-,"Если лицо ходатайствовало о направлении ИЛ/СП для исполнения или ИЛ по решению о присуждении компенсации за нарушение права на судопроизводство в разумный срок или права на исполнение судебного акта в разумный срок, то на исполнение документы будет направлять суд самостоятельно. Судья проверяет есть воля взыскателя/установлено законом направление на исполнение судом?Если «Да», то переход к шагу 43Если «Нет», то переход к шагу 34"
"",Система,-,-,Проверить заявление лица о выдаче ИЛ/СП,-,Система проверяет наличие заявления о выдаче исполнительного листа/судебного приказа от лица 
"",Судья,"","",Проверить выводы системы,"","Переход к типовому процессу «Проверить выводы системы», в рамках которого судья валидирует проверку системой наличия заявления."
"",Судья,-,-,Есть заявление о выдаче ИЛ/СП?Эксклюзивный шлюз,-,"Судья проверяет есть заявление о выдаче ИЛ/СПЕсли «Да», то переход к шагу 38Если «Нет», то переход к шагу 37"
"",Судья,-,-,Завершающее событие,-,Отсутствуют заявления лица о выдаче ИЛ/СП 
"",Канцелярия,-,-,Необходимо направить заявителю?Эксклюзивный шлюз,-,"Канцелярия суда смотрит, куда согласно сопроводительному письму необходимо направить документ-заявителю или лицу, обязанному судом исполнить СА. Кому следует направить ИЛ/СП заявитель указал в своем заявлении о выдаче исполнительного листа.Канцелярия решает необходимо направить заявителю?Если «Да», то переход к шагу 39Если «Нет», то переход к шагу 41"
"",Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направленный заявителю ИЛ."
"",Канцелярия,-,-,Завершающее событие,-,Завершение процесса исполнения СА. Исполнительный документ направлен взыскателю 
"",Канцелярия,-,-,Направить документ,-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направленный ИЛ в адрес лица, обязанного судом исполнить СА."
"",Канцелярия,-,-,Завершающее событие,-,Завершение процесса исполнения СА. Исполнительный документ направлен лицу обязанному судом исполнить СА 
"",Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий потоки шага 33 и 75 процесса."
"",Судья,-,-,Направить ИЛ/СП на исполнение,-,"Если лицо ходатайствовало о направлении ИЛ/СП для исполнения или ИЛ по решению о присуждении компенсации за нарушение права на судопроизводство в разумный срок или права на исполнение судебного акта в разумный срок, то на исполнение документы будет направлять суд самостоятельно. Судья направляет ИЛ/СП на исполнение непосредственно в системе."
"",Система,-,Пакет данных,Сформировать пакет данных ,"",Система формирует пакет данных (Исполнительный лист/решение суда) для направления на исполнение.
"",Судья,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процессов. Шаги 47 и 51 процесса происходят параллельно.
"",Судья,-,-,Есть необходимость получить информацию о ходе исполнения ИЛ?Эксклюзивный шлюз,-,"В некоторых случаях арбитражный суд должен получить информацию о ходе исполнения, например когда обязал лицо устранить какие-либо нарушения. Судья решает есть ли необходимость получить информацию о ходе исполнения ИЛ?Если «Да», то переход к шагу 48Если «Нет», то переход к шагу 49"
"",Судья,-,-,"Переход к типовому процессу ""Проверить статус исполнения ИЛ""",-,"Переход к типовому процессу ""Проверить статус исполнения ИЛ"", результатом которого будет проверенный судьей статус исполнения ИЛ."
"",Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 47 процесса.
"",Судья,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. СА обращен к исполнению
"",Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направленный ИЛ в Налоговый орган/ФССП/иной орган, уполномоченный исполнить решение суда."
"",Канцелярия,-,-,Завершающее событие,-,Завершение процесса. Исполнительный документ направлен судом 
"",Судья,Для исполнения необходимо направить СА,-,Определить  получателей ,-,Судья определяет получателей решения и фиксирует в системе.
"",Судья,-,-,"СА, по вопросу которого направляется решение, вступил в законную силу?Эксклюзивный шлюз",-,"По результатам проверки срока судья смотрит СА, по вопросу которого направляется решение, вступил в законную силу?Если «Да», то переход к шагу 57Если «Нет», то переход к шагу 55"
"",Судья,-,-,СА подлежит немедленному исполнению?Эксклюзивный шлюз,-,"В основном в случаях, когда исполнительным документом является СА, то обычно он подлежит немедленному исполнению, но судом может быть установлен срок вступления в законную силу в отдельных случаях. Судья решает подлежит ли СА немедленному исполнению?Если «Да», то переход к шагу 63Если «Нет», то переход к шагу 57"
"",Судья,-,-,Ожидать вступление СА в законную силуПромежуточное событие (Таймер),-,Судья ожидает вступление СА в законную силу.
"",Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для объединения потоков шага 54 и 55 процесса.
"",Система,-,-,Проверить добровольность исполнения,-,"Система проверяет добровольную оплату, уведомляет судью о её наличии или отсутствия, и записывает данные о дате проверки "
"",Судья,-,-,Был исполнен добровольно?Эксклюзивный шлюз,-,"Судья смотрит были ли представлены должником документы, подтверждающие добровольное исполнение судебного акта.Если «Да», то переход к шагу 60Если «Нет», то переход к шагу 63"
"",Судья,-,Определение об отказе,"Переход к типовому процессу ""Принять СА""",-,"Переход к типовому процессу ""Принять СА"", результатом которого будет вынесение судьей определения об отказе в выдаче копии СА для исполнения в связи с добровольным исполнением решения суда.Автогенерация определения на основе шаблона с автозаполнением данных по делу."
"",Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление канцелярией суда определение об отказе направление СА на исполнение в связи с тем, что ответчик исполнил СА добровольно."
"",Канцелярия,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. Отказано в выдаче исполнительного документа в связи с добровольным исполнением 
"",Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий шаги 55 и 59 процесса"
"",Судья,-,-,Необходимо проверить наличие заявления?Эксклюзивный шлюз,-,"Судья смотрит необходимо ли проверить наличие заявления о выдаче СА для исполнения от стороны?Если «Да», то переход к шагу 65Если «Нет», то переход к шагу 68"
"",Система,-,-,Проверить заявление,-,Система проверяет наличие в деле заявления о выдаче копии СА для исполнения от взыскателя.
"",Судья,-,-,Проверить выводы системы,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья валидирует проверку системы на наличие в деле заявления о выдаче копии СА для исполнения от взыскателя."
"",Судья,-,-,Есть заявление от стороны на выдачу решения?Эксклюзивный шлюз,-,"Судья смотрит есть ли заявление от стороны на выдачу решения.Если «Да», то переход к шагу 68Если «Нет», то переход к шагу 67"
"",Судья,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. Нет заявления от стороны о выдаче СА для исполнения и СА не подлежит направлению на исполнение судом самостоятельно.
"",Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 65 процесса
"",Судья,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процессов. Шаги 70 и 71 процесса происходят параллельно.
"",Судья,-,Заверенная копия СА,"Переход к типовому процессу ""Изготовить копии""",-,"Переход к типовому процессу ""Изготовить копии"", результатом которой будут изготовленные и заверенные надлежащим образом копии СА. Электронные копии заверяются соответствующим штрих-кодом."
"",Судья,-,Сопроводительное письмо,"Переход к типовому процессу ""Сформировать и подписать документ""",-,"Переход к типовому процессу ""Сформировать и подписать документ"", результатом которого будет сформированное и подписанное сопроводительное письмо о направлении СА на исполнение."
"",Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 69 процесса
"",Судья,-,-,Решением суда на орган/должностное лицо возложена обязанность по совершению (воздержанию от совершения) определенных действий?Эксклюзивный шлюз,-,"Решением суда на орган/должностное лицо возложена обязанность по совершению (воздержанию от совершения) определенных действий?Если «Да», то переход к шагу 74Если «Нет», то переход к шагу 76"
"",Судья,-,-,Необходимо выдать ИЛ?Эксклюзивный шлюз,-,"В случаях, когда решением суда на орган/должностное лицо возложена обязанность по совершению (воздержанию от совершения) определенных действий, то судом может быть выдан исполнительный лист, на что прямо будет указано в СА. Судья смотрит есть ли необходимость выдать ИЛ?Если «Да», то переход к шагу 75Если «Нет», то переход к шагу 76"
"",Судья,-,Исполнительный лист,Оформить исполнительный лист,-,"Переход к типовому процессу ""Оформить исполнительный лист"", результатом которого будет оформленный надлежащим образом в соответствии с требованиями закона исполнительный лист, готовый к направлению на исполнение."
"",Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 73 процесса
"",Судья,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процесса. Шаги 88 и 78 процесса происходят параллельно.
"",Канцелярия,-,-,Необходимо направить заявителю?Эксклюзивный шлюз,-,"Канцелярия суда смотрит, куда согласно сопроводительному письму необходимо направить документ-заявителю или лицу, обязанному судом исполнить СА. Кому следует направить СА заявитель указал в своем заявлении о выдаче СА для исполнения.Канцелярия решает необходимо направить заявителю?Если «Да», то переход к шагу 81Если «Нет», то переход к шагу 79"
"",Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",Срок варьируется в зависимости от категории спора ,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление СА лицу, обязанному судом исполнить СА."
"",Канцелярия,-,-,Завершающее событие,-,Завершение ветки процесса. Исполнительный документ направлен лицу обязанному судом исполнить СА 
"",Канцелярия,-,-,Направить документ,-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление СА заявителю"
"",Канцелярия,-,-,Завершающее событие,-,Завершение ветки процесса. Исполнительный документ направлен взыскателю 
"","Лицо, ходатайствовавшее о выдаче ИЛ/СП/Решение",-,-,Получен исполнительный лист/судебный приказ/Решение/ОпределениеСтартовое событие,-,"Лицо, ходатайствовавшее о выдаче ИЛ/СП/Решение получает документ, о выдаче которого ходатайствовал или определение об отказе в его выдаче."
"","Лицо, ходатайствовавшее о выдаче ИЛ/СП/Решение",-,-,Ознакомиться,-,"Лицо, ходатайствовавшее о выдаче ИЛ/СП/Решение знакомится с поступившим документом."
"",Система,-,Данные об ознакомлении,Отправить данные об ознакомлении ,-,Система отправляет данные о дате и времени ознакомления с СА для фиксации данных в системе арбитражного суда. 
"","Лицо, ходатайствовавшее о выдаче ИЛ/СП/Решение",-,-,Завершающее событие,-,"Завершение процесса Обратить СА к исполнению на пуле «Лицо, ходатайствовавшее о выдаче ИЛ/СП/Решение»."
"",Судья,-,-,Решение было направлено в орган?Эксклюзивный шлюз,-,"Судья смотрит решение было направлено в орган/ должностному лицу?Если «Да», то переход к шагу 90Если «Нет», то переход к шагу 89"
"",Судья,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. СА обращен к исполнению.
"",Судья,-,-,Ожидать исполненияПромежуточное событие (Таймер),-,"Если суд обязал орган/должностное лицо сообщить суду об исполнении СА, то судья будет ожидать исполнения СА должностным лицом, органом и ждать подтверждение исполнения."
"",Судья,-,-,Подтверждение исполнения поступило?Эксклюзивный шлюз,-,"Судья проверяет поступило ли подтверждение исполнения от органа/должностного лица?Если «Да», то переход к шагу 92Если «Нет», то переход к шагу 93"
"",Судья,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. СА обращен к исполнению.
"",Судья,-,-,Необходимо наложить судебный штраф?Эксклюзивный шлюз,-,"Если орган/должностное лицо был обязан предоставить подтверждение исполнения и не предоставил его, то судья может наложить судебный штраф. Судья решает-необходимо ли наложить судебный штраф за несообщение об исполнении?Если «Да», то переход к шагу 94Если «Нет», то переход к шагу 95"
"",Судья,-,-,Наложить судебный штраф,-,"Переход к типовому процессу ""Наложить судебный штраф"", результатом которого будет вынесение судом определения о наложении судебного штрафа и контроль его исполнения."
"",Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 93 процесса.
"",Судья,-,-,Завершающее событие,-,Завершение процесса обращения СА к исполнению. СА обращен к исполнению. Подтверждение исполнения не получено.
