№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
39,Система,—,—,Передать на согласование председателю,__,Система автоматически передает на согласование председателю налоговую отчетность
40,Председатель суда/Зам. председателя суда,—,—,Ознакомиться с отчетностью,__,Председатель суда/Зам. председателя суда знакомиться с отчетностью
41,Председатель суда/Зам. председателя суда,—,"Если да, то переход к шагу 42. Если нет, то переход к шагу 44",Есть замечания?Эксклюзивный открывающий шлюз,—,"Есть замечания?Если да, то переход к шагу 42Если нет, то переход к шагу 44"
42,Система,—,—,Передать замечания,__,Система автоматически передает замечания по представленной налоговой отчетности
43,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Скорректировать отчетность,__,Сотрудник отдела бухгалтерского учета и отчетности корректирует отчетность согласно представленным замечаниям
44,Председатель суда/Зам. председателя суда,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 41-го, 43-го шага"
45,Председатель суда/Зам. председателя суда,—,Согласованная налоговая отчетность,Согласовать отчетность,__,Председатель суда/Зам. председателя согласовывает отчетность
46,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Подать отчетность,__,Сотрудник отдела бухгалтерского учета и отчетности подает отчетность не позднее установленных законом сроков
47,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Ожидать сообщения от ФНС/СФР,—,Сотрудник отдела бухгалтерского учета и отчетности ожидает сообщения от ФНС/СФР
48,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Получен ответ от ФНС/СФР,—,Сотрудник отдела бухгалтерского учета и отчетности получил ответ от ФНС/СФР
49,Сотрудник отдела бухгалтерского учета и отчетности,—,"Если да, то переход к шагу 50. Если нет, то переход к шагу 51",Есть ошибки в отчетности? Эксклюзивный открывающий шлюз,—,Сотрудник отдела бухгалтерского учета и отчетности устраняет замечания от ФНС/СФР. Процесс возвращается на шаг 35 и продолжает движение с шага 35.
50,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Устранить замечания от ФНС/СФР,__,Сотрудник отдела бухгалтерского учета и отчетности устраняет замечания от ФНС/СФР
51,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Осуществлять внутренний контроль и сверку платежей,—,Сотрудник отдела бухгалтерского учета и отчетности осуществляет внутренний контроль и сверку платежей в течении всего отчетного периода
52,Сотрудник отдела бухгалтерского учета и отчетности,—,—,"Налоговые платежи уплачены, налоговая отчетность подана вовремя и принята без ошибок. Завершающее событие",—,"Налоговые платежи уплачены, налоговая отчетность подана вовремя и принята без ошибок. Завершение процесса"
