Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
"",Система,-,-,Поставить запрет на публикацию ,-,"Система фиксирует запрет на публикацию протокола СЗ. Протокол СЗ, оформленный в ходе закрытого заседания, не публикуется."
"",Помощник судьи/секретарь СЗ,-,-,Завершение процесса.,-,Аудиофайл  СЗ по гостайне сохранен в режиме ограниченного доступа. 
"",Система,Аудио-видеозапись СЗ,-,Сохранить аудио/видеозапись СЗ ,-,Система сохраняет аудио/видеозапись хода СЗ.
"",Система,-,-,Приобщить записи к файлу протокола СЗ ,-,Система приобщает сохраненную запись к файлу протокола СЗ для формирования единого объекта и фиксации этого объекта в карточке соответствующего дела.
"",Помощник судьи/секретарь СЗ,-,Протокол СЗ в письменном виде,Составить протокол с явкой лиц ,-,Помощник судьи/секретарь СЗ инициирует процесс формирования явочного протокола в системе.
"",Система,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процесса.
"",Система,-,-,"Зафиксировать год, месяц, число, место проведения СЗ",-,"Помощник судьи/секретарь СЗ фиксирует в протоколе год, месяц, число, место проведения СЗ"
"",Система,-,-,Зафиксировать время начала и окончания СЗ,-,Система фиксирует в протоколе время начала и окончания СЗ
"",Система,-,-,"Зафиксировать наименование АС, состав суда",-,"Система фиксирует в протоколе наименование Арбитражного суда, состав суда, рассматривающего дело."
"",Система,-,-,Зафиксировать наименование и номер дела,-,Система фиксирует в протоколе наименование и номер дела
"",Система,-,-,Не эксклюзивный шлюз,-,Не эксклюзивный шлюз: может активироваться один или несколько шагов одновременно.
"",Система,-,-,Зафиксировать предупреждения об УО переводчика,-,"Система фиксирует в протоколе предупреждения об уголовной ответственности переводчика в случае, если в деле участвовал переводчик."
"",Система,-,-,Зафиксировать предупреждения об УО свидетеля,-,"Система фиксирует в протоколе предупреждения об уголовной ответственности свидетеля, если он участвовал в дела."
"",Система,-,-,Зафиксировать предупреждения об УО эксперта,-,"Система фиксирует в протоколе предупреждения об уголовной ответственности эксперта, если он участвовал в деле."
"",Система,-,-,Зафиксировать устные заявления и ходатайства ЛУВД,-,Система фиксирует в протоколе устные заявления и ходатайства ЛУВД
"",Система,-,-,Зафиксировать консультации специалистов,-,Система фиксирует в протоколе консультации специалистов
"",Система,-,-,Зафиксировать соглашение сторон по фактическим обстоятельствам дела,-,Система фиксирует в протоколе соглашение сторон по фактическим обстоятельствам дела
"",Система,-,-,Зафиксировать соглашение сторон по заявленным требованиям,-,Система фиксирует в протоколе соглашение сторон по заявленным требованиям
"",Система,-,-,Зафиксировать возражения,-,Система фиксирует в протоколе возражения сторон
"",Система,-,-,"Зафиксировать определения, вынесенные без удаления из зала СЗ",-,"Система фиксирует в протоколе определения, вынесенные без удаления из зала СЗ"
"",Система,-,-,Зафиксировать факт использования тех. средств/трансляции СЗ,-,Система фиксирует в протоколе факт использования тех. средств/трансляции СЗ
"",Система,-,-,Была трансляция СЗ?(Эксклюзивный шлюз),-,"Система определяет, была ли трансляция СЗ?Если «Да», то переход к шагу 41 процесса.Если «Нет», то переход к шагу 42 процесса."
"",Система,-,-,Зафиксировать наименование СМИ/сайта,-,"Система фиксирует в протоколе наименование СМИ/сайта, на котором велась трансляция."
"",Система,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 40 процесса.
"",Система,"","",Закрывающий шлюз.,"",Закрывающий шлюз для шага 29 процесса.
"",Система,-,-,Зафиксировать дату составления протокола,-,Система фиксирует в протоколе дату составления протокола
"",Система,-,-,"Зафиксировать иные сведения, имеющие значение для дела",-,"Система фиксирует в протоколе иные сведения, имеющие значение для дела"
"",Система,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 24 процесса.
"",Система,-,Отчет,Сформировать отчет ,-,Система формирует отчет о составленном на основе шаблона протоколе с указанием занесенных сведений и результатом обработки для последующей валидации пользователем.
"",Помощник судьи/секретарь СЗ,-,-,Проверить выводы системы ,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого Помощник судьи/секретарь СЗ валидирует составленный системой протокол."
"",Помощник судьи/секретарь СЗ,-,-,Протокол СЗ по отдельному процессуальному действию?(Эксклюзивный шлюз),-,"Помощник судьи/секретарь СЗ составлял протокол по отдельному процессуальному действию?Если «Да», то переход к шагу 50 процесса.Если «Нет», то переход к шагу 53 процесса."
"",Система,-,-,Зафиксировать результат совершения процессуального действия ,-,Система фиксирует результат совершения процессуального действия для отображения в протоколе.
"",Помощник судьи/секретарь СЗ,-,Подписанный протокол СЗ,"Переход к типовому процессу ""Сформировать и подписать документ""",Не позднее следующего дня после дня окончания судебного заседания,"Переход к типовому процессу ""Сформировать и подписать документ"", результатом которого будет электронный протокол отдельного процессуального действия, подписанный ЭП помощником судьи/секретарем СЗ и судьей."
"",Система,-,-,Подписи сторон,-,"Система направляет сформированный протокол лицам, участвующим в деле, для получения подписи."
"",Помощник судьи/секретарь СЗ,-,Подписанный протокол отдельного процессуального действия,"Переход к типовому процессу ""Сформировать и подписать документ"",","Незамедлительно, после совершения процессуального действия.","Протокол проверяется и подписывается председательствующим в судебном заседании, секретарем судебного заседания не позднее следующего дня после дня окончания судебного заседания. Протокол о совершении отдельного процессуального действия должен быть изготовлен и подписан сразу после совершения процессуального действия.Переход к типовому процессу ""Сформировать и подписать документ"", результатом которого будет электронный протокол СЗ, подписанный ЭП помощником судьи/секретарем СЗ и судьей."
"",Система,-,-,Подписи сторон,-,"Система направляет сформированный протокол лицам, участвующим в деле, для получения подписи."
"",ЛУВД/Представители,-,-,Получен протокол для подписанияСтартовое событие,-,Стартовое событие для ЛУВД/Представителей: Получен протокол для подписания.
"",ЛУВД/Представители,-,-,Ознакомиться,-,ЛУВД/Представители знакомятся с содержанием протокола
"",Система,-,-,Вернуть время ознакомления ,-,Система отправляет данные о дате и времени ознакомления с СА для фиксации данных в системе арбитражного суда. 
"",ЛУВД/Представители,-,-,Подписать протокол,-,ЛУВД/Представители подписывают протокол ЭП по итогам ознакомления.
"",ЛУВД/Представители,-,-,Завершающее событие,-,Завершение процесса подписания протокола сторонами.
"",Помощник судьи/секретарь СЗ,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 49 процесса.
"",Помощник судьи/секретарь СЗ,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 14 процесса.
"",Помощник судьи/секретарь СЗ,-,-,В деле участвовал переводчик?(Эксклюзивный шлюз),-,"Помощник судьи/секретарь СЗ проверяет участвовал ли в деле переводчик.Если «Да», то переход к шагу 57 процесса.Если «Нет», то переход к шагу 74 процесса."
"",Помощник судьи/секретарь СЗ,-,Подписанный протокол СЗ для перевода,Направить подписанный протокол СЗ для перевода,-,"Помощник судьи/секретарь СЗ направляет в электронном виде через систему подписанный протокол СЗ для перевода переводчику, который осуществлял перевод в судебном заседании."
"",Канцелярия,-,Направленный протокол СЗ,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление переводчику подписанного протокола СЗ для осуществления его перевода."
"",Канцелярия,-,-,Завершающее событие,-,Завершение процесса направления протокола для перевода. Протокол направлен для перевода.
"",Переводчик,-,-,Получен протокол СЗ.Стартовое событие,-,Переводчик получил протокол СЗ для перевода.
"",Переводчик,-,-,Перевести протокол СЗ,-,Переводчик осуществляет перевод протокола СЗ.
"",Переводчик,-,Переведенный протокол СЗ,"Переход к типовому процессу ""Подать документы в суд""",-,"Переход к типовому процессу ""Подать документы в суд"", результатом которого будет направление перевода протокола в суд."
"",Переводчик,-,-,Завершающее событие,-,Завершение процесса на пуле переводчика.  Перевод протокола направлен в суд 
"",Канцелярия,-,-,Получен перевод протокола СЗСтартовое событие,-,Канцелярия суда получает перевод протокола СЗ.
"",Канцелярия,-,Зарегистрированный перевод протокола СЗ,"Переход к типовому процессу ""Принять входящий документ""",-,"Переход к типовому процессу ""Принять входящий документ"", результатом которого будет зарегистрированный в соответствии с требованиями инструкции по делопроизводству № 100 перевод протокола.Автоматическая регистрация, контроль сроков регистрации. Автоматическое сохранение документа в соответствующей карточке дела, к которому он относится."
"",Система,Перевод протокола СЗ,-, Уведомить о поступлении перевода протокола СЗ ,-,Система направляет уведомление в личный кабинет пользователя о факте поступления перевода протокола СЗ.
"",ЛУВД/Представители,-,-,Получен перевод протокола СЗСтартовое событие,-,ЛУВД/Представители получают перевод протокола СЗ
"",ЛУВД/Представители,-,-,Ознакомиться,-,ЛУВД/Представители знакомится с переводом протокола СЗ
"",Система,"","",Вернуть время ознакомления ,"",Система отправляет данные о дате и времени ознакомления с переводом для фиксации данных в системе арбитражного суда. 
"",ЛУВД/Представители,-,-,Завершающее событие,-,Завершение процесса получения перевода сторонами. ЛУВД/Представитель ознакомлен с переводом 
"",Канцелярия,-,Направленный перевод протокола СЗ,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направленный стороне перевод протокола СЗ."
"",Канцелярия,-,-,Завершающее событие,-,ЛУВД направлен перевод протокола 
"",Помощник судьи/секретарь СЗ,-,-,Параллельный шлюз.,-,Параллельный шлюз.
"",Помощник судьи/секретарь СЗ,-,-,Закрывающий шлюз.,-,Закрывающий шлюз для шага 62 процесса.
"",Система,-,-,Сохранить в карточке дела  материалы по СЗ ,-,Система сохраняет в карточке дела протокол СЗ Вместе с записью СЗ (если она была) и переводом протокола (если был).
"",Система,-,-,Было проведено закрытое СЗ?(Эксклюзивный шлюз),-,"Система определяет, было ли проведено закрытое судебное заседание.Если «Да», то переход к шагу 85 процесса.Если «Нет», то переход к шагу 83 процесса."
"",Система,-,Протокол СЗ в КАД в режиме ограниченного доступа,Разместить  материалы  СЗ в режиме ограниченного доступа ,-,Система размещает протокол СЗ и сопутствующий ему аудио/видеофайл в КАД в режиме ограниченного доступа.
"",Помощник судьи/секретарь СЗ,-,-,Проверить выводы системы ,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого Помощник судьи/секретарь СЗ валидирует результат процесса публикации в КАД системой на предмет корректности размещенных данных и валидации сохранения ограниченного доступа."
"",Система,-,-,Поставить запрет на публикацию ,-,"Система фиксирует запрет на публикацию протокола СЗ. Протокол СЗ, оформленный в ходе закрытого заседания, не публикуется."
"",Помощник судьи/секретарь СЗ,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 82 процесса.
"",Помощник судьи/секретарь СЗ,-,-,Поступило ходатайство об ознакомлении?(Эксклюзивный шлюз),-,"Помощник судьи/секретарь СЗ смотрит поступило ли в суд ходатайство об ознакомлении с протоколом СЗ?Если «Да», то переход к шагу 94 процесса.Если «Нет», то переход к шагу 88 процесса."
"",Помощник судьи/секретарь СЗ,-,-,Завершающее событие,-,Завершение процесса оформления протокола СЗ. Протокол СЗ оформлен 
"",ЛУВД/Представители,-,-,Появилась необходимость ознакомиться с протоколом СЗСтартовое событие,-,"Согласно ст. 155 АПК РФ «Лица, участвующие в деле, имеют право знакомиться с аудиозаписью судебного заседания, протоколами судебного заседания и протоколами о совершении отдельных процессуальных действий и представлять замечания относительно полноты и правильности их составления в пятидневный срок после подписания соответствующего протокола. К замечаниям могут быть приложены материальные носители проведенной лицом, участвующим в деле, аудио- и (или) видеозаписи судебного заседания».ЛУВД/Представители хотят ознакомиться с протоколом СЗ."
"",ЛУВД/Представители,-,Ходатайство об ознакомлении с протоколом СЗ,Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"", результатом которого будет поданное в суд ходатайство стороны об ознакомлении с протоколом СЗ.Подача документов в веб-форме с валидацией полей и обязательных приложений."
"",ЛУВД/Представители,-,-,Завершающее событие,-,Завершение процесса подачи ходатайства об ознакомлении с протоколом СЗ. Направлено ходатайство об ознакомлении 
"",Канцелярия,-,-,Получено ходатайство об ознакомленииСтартовое событие,-,Канцелярия суда получила ходатайство об ознакомлении с протоколом СЗ от стороны.
"",Канцелярия,-,Зарегистрированное ходатайство об ознакомлении,"Переход к типовому процессу ""Принять входящий документ""",-,"Переход к типовому процессу ""Принять входящий документ"", результатом которого будет зарегистрированное в соответствии с положениями Инструкции по делопроизводству № 100 ходатайство стороны.Автоматическая регистрация, контроль сроков регистрации. Автоматическое сохранение документа в соответствующей карточке дела, к которому он относится."
"",Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий потоки шага 87 и шага 93 процесса."
"",Судья,-,-,"Переход к типовому процессу ""Ознакомить с протоколом СЗ""",-,"Переход к типовому процессу ""Ознакомить с протоколом СЗ"", результатом которого будет решение по вопросу ознакомления с протоколом СЗ, а также рассмотрение судьей замечаний на протокол СЗ, если они поступят от стороны."
"",Судья,-,-,Завершающее событие,-,Завершение процесса оформления протокола СЗ.  Протокол  СЗ оформлен.
