Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Установить факт болезни судьи,-,"Согласно ч. 5 ст. 158 АПК, судебное разбирательство также может быть отложено по решению председателя арбитражного суда, заместителя председателя арбитражного суда или председателя судебного состава в случае болезни судьи на срок, не превышающий одного месяца. Установка факта болезни судьи и отложение СЗ в этом случае возможно только по решению председателя арбитражного суда, заместителя председателя арбитражного суда или председателя судебного состава, т. е. невозможно судьей.Председатель арбитражного суда, заместитель председателя арбитражного суда или председатель судебного состава фиксирует в системе факт болезни судьи."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Проверить срок,-,"Переход к типовому процессу ""Проверить срок"". В рамках процесса председатель арбитражного суда, заместитель председателя арбитражного суда или председатель судебного состава сверяет дату болезни (окончания больничного) судьи с плановой датой проведения СЗ для дальнейшего решения вопроса об отложении посредством использования соответствующего калькулятора процессуальных сроков в системе."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Необходимо отложение?Эксклюзивный шлюз,-,"Если да, то переход к шагу 18. Если нет, то переход к шагу 16"
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,Акт распределения,Заменить судью,-,"Переход к типовому процессу ""Заменить судью"".В рамках процесса происходит замена судьи ввиду болезни судьи, рассматривавшего дело, для избежания процесса отложения СЗ на позднюю дату. Участвует сервис распределения дел между судьями.Новый судья получает материалы дела и приступает к рассмотрению.Процесс оформляется актом о распределении."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Завершающее событие,-,"Завершение процесса. Судья заменен, проведение СЗ не откладывается."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Неэксклюзивный шлюз.,-,-
"",Система,-,-,Провести анализ дела в зависимости от выбранных оснований ,"","ИИ проводит анализ дела в соответствии с законодательством, определяет необходимость и возможность отложения СЗ с учетом всех обстоятельств и проанализированных оснований."
"",Система,-,Отчет,Сформировать отчет ,"",Система формирует отчет для судьи о занесенной информации в карточку и указанием на рекомендацию по отложению.
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Проверить выводы системы ,"","Переход к типовому процессу «Проверить выводы системы», в рамках которого Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава валидирует корректность занесенных системой данных."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,"","",Принять решение по вопросу ,"","Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава принимает решение по вопросу, опираясь в том числе на рекомендацию, сформированную ИИ."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Суд считает необходимым отложить СЗ?Эксклюзивный шлюз,-,"Если да, то переход к шагу 29. Если нет, то переход к шагу 24"
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Рассматривалось по ходатайству лица?Эксклюзивный шлюз,-,"Вопрос необходим для решения о необходимости принятия отдельного СА об отложении.Если да, то переход к шагу 26. Если нет, то переход к шагу 25"
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Завершение процесса.,-,Рассматривалось по инициативе суда. Переход в основной процесс 
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,Определение об отказе в удовлетворении ходатайства об отложении СЗ,Принять СА,-,"Переход к типовому процессу ""Принять СА"".В рамках процесса судья формирует и подписывает определение об отказе в удовлетворении ходатайства об отложении СЗ. В определении указываются основания отказа. Определение не обжалуется.Автогенерация определения системой на основе шаблона с последующей валидацией со стороны судьи."
"",Канцелярия,-,"Определение об отказе в удовлетворении ходатайства об отложении СЗ, направленное лицу",Направить документ,-,"Переход к типовому процессу ""Направить документ"".Канцелярия направляет определение об отказе в удовлетворении ходатайства лицу на ознакомление. "
"",Канцелярия,-,-,Завершение процесса.,-,Завершение процесса. Определение направлено лицу. Отказано в отложении 
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Необходимо допросить явившихся свидетелей?Эксклюзивный шлюз,-,"Согласно ч.6 ст. 158 АПК,  при отложении судебного разбирательства арбитражный суд вправе допросить явившихся свидетелей, если в судебном заседании присутствуют стороны. Показания этих свидетелей оглашаются в новом судебном заседании. Повторный вызов этих свидетелей в новое судебное заседание производится только в случаях необходимости. Судья решает вопрос о необходимости допроса. Если да, то переход к шагу 25. Если нет, то переход к шагу 26"
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Заслушать свидетеля/эксперта/специалиста,-,"Переход к типовому процессу ""Заслушать свидетеля/эксперта/специалиста"". В рамках процесса судья получает информацию от свидетелей согласно ч. 6 ст. 158 АПК с проведением соответствующей процедуры собеседования."
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Эксклюзивный закрывающий шлюз,-,-
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,Определение об отложении СЗ,Назначить СЗ,-,"Переход к типовому процессу ""Назначить СЗ"". В рамках процесса происходит выбор новой даты и времени, а также при необходимости нового места проведения СЗ. Судьей принимается определение об отложении СЗ, в котором указывается срок отложения (новая дата проведения СЗ) с указанием причины отложения.Срок отложения не может быть более чем 1 месяц, кроме случаев, когда удовлетворено ходатайство стороны об отложении ввиду процедуры примирения — тогда срок не более 2 месяцев. (ч.7 ст. 158 АПК РФ).О времени и месте нового судебного заседания арбитражный суд извещает лиц, участвующих в деле, и других участников арбитражного процесса. Лица, явившиеся в судебное заседание, извещаются о времени и месте нового заседания непосредственно в судебном заседании под расписку в протоколе судебного заседания (ч. 9 ст. 158 АПК)Судебное разбирательство в новом судебном заседании возобновляется с того момента, с которого оно было отложено. Повторное рассмотрение доказательств, исследованных до отложения судебного разбирательства, не производится (ч. 10 ст. 158 АПК).В рамках процесса - предложение даты, времени и места проведения СЗ системой на основании данных календарей, валидация со стороны участников процесса."
"",Канцелярия,-,"Определение суда, направленное лицам",Направить документ,-,"Переход к типовому процессу ""Направить документ"".Канцелярия направляет определение суда ЛУВД."
"",Канцелярия,-,-,Завершение процесса.,-,Завершение процесса. Определение направлено лицам. Судебное заседание отложено 
"",ЛУВД,Определение суда,-,Получено определение,-,ЛУВД получает определение.
"",ЛУВД,-,-,Ознакомиться,-,ЛУВД знакомится с содержанием определения
"",Система,-,-,Вернуть время ознакомления ,-,Система отправляет данные о дате и времени ознакомления с СА для фиксации данных в системе арбитражного суда. 
"",ЛУВД,-,-,Завершение процесса,-,Лувд ознакомлен с определением 
