№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
10,Сотрудник ответственный на основании поручения,—,—,Какой вид поручения?Эксклюзивный открывающий шлюз,—,"Сотрудник, ответственный на основании поручения, определяет вид поручения: необходимо ли подготовить ответ на запрос, необходимо ознакомиться с поступившим письмом либо служебным документом. Какой вид поручения?Ознакомиться с поступившим письмом: переход к шагу 11; Подготовить ответ на запрос: переход к шагу 18;Подготовить служебный документ: переход к шагу 20"
11,Сотрудник ответственный на основании поручения,—,—,Учитывать информацию в работе,—,"Сотрудник, ответственный на основании поручения, учитывает информацию в работе после ознакомления с поступившим письмом"
12,Сотрудник ответственный на основании поручения,—,—,Установить необходимость изменения локального акта,—,"Сотрудник, ответственный на основании поручения устанавливает необходимость изменения локального акта"
13,Сотрудник ответственный на основании поручения,—,—,Необходимо изменить локальный акт? Эксклюзивный открывающий шлюз,—,Необходимо изменить локальный акт?Да: переход к шагу 14Нет: переход к шагу 15
14,Сотрудник ответственный на основании поручения,—,Локальный акт,ОБП48: Принять локальный акт,—,"Переход к ОБП48:Принять локальный акт, результатом которого будет принятый ЛНА"
15,Сотрудник ответственный на основании поручения,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз, переход к шагу 16. Закрывающий шлюз, объединяющий поток из 13-го шага"
16,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
17,Сотрудник ответственный на основании поручения,—,—,Информационное письмо принято к сведению. Документ подшит в номенклатурное дело.,—,Информационное письмо принято к сведению. Документ подшит в номенклатурное дело.
18,Система,—,Информация по запросу,Подготовить информацию по запросу,—,"Сотрудник ответственный на основании поручения готовит информацию по запросу. Согласно ст. 41.1.4. Постановление Пленума ВАС РФ от 25.12.2013 N 100: Обращение, в том числе поступившее в форме электронного документа посредством Информационной системы подачи жалоб на действия судей и работников аппаратов арбитражных судов Российской Федерации (далее - СПЖ), подлежит обязательной регистрации в САД либо в журнале регистрации в трехдневный срок с момента поступления в суд.Кроме того, обращения, являющиеся жалобами, вне зависимости от формы и способа их поступления подлежат обязательной регистрации в СПЖ в порядке, утверждаемом приказом ВАС РФ.После рассмотрения обращения приложенные к нему подлинники документов в обязательном порядке возвращаются заявителям. Копии приложенных к обращению документов возвращаются заявителям по усмотрению руководства суда либо по запросу заявителя.Рассмотренные обращения с копиями ответов подшиваются в дело согласно утвержденной в арбитражном суде номенклатуре дел."
19,Система,"Информация по запросу, Анализ документа",Ответ на запрос,ТБП139: Проверить выводы системы,—,ТБП49:Сформировать и подписать документ
20,Сотрудник ответственный на основании поручения,—,—,Определить состав лиц для подготовки документа,—,Сотрудник ответственный на основании поручения выполняет задачу: 'Определить состав лиц для подготовки документа'.
21,Сотрудник ответственный на основании поручения,—,—,Какой состав лиц? Эксклюзивный открывающий шлюз,—,Определяется какой состав лиц:В составе рабочей группы : переход к шагу 45В составе комиссии : переход к шагу 52Единолично: провести анализ
22,Система,—,Анализ документа,Провести анализ,—,Система выполняет задачу: 'Провести анализ'.
23,Сотрудник ответственный на основании поручения,—,Служебный документ,ТБП49:Сформировать и подписать документ,—,ТБП49:Сформировать и подписать документ
24,Председатель суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 19-го, 23-го шага"
25,Система,—,—,Закрыть задачу на ознакомление с запросом/поручением,—,Система снимает поручение
26,Председатель суда,—,—,Определить необходимость направления документа,—,Председатель суда определяет необходимость направления документа
27,Председатель суда,—,—,Документ необходимо направить? Эксклюзивный открывающий шлюз,—,Документ необходимо направить?Да: переход к шагу 28Нет: переход к шагу 40
28,Система,—,—,ТБП106:Передать документ,—,ТБП106:Передать документ
29,Система,—,—,Зарегистрировать исходящее письмо,—,"Лицо, ответственное за межведомственный документооборот, регистрирует исходящее письмо"
30,Лицо ответственное за межведомственный документооборот,—,—,В каком виде требуется направить? Открывающий шлюз,—,"Определяется в каком виде требуется направить. Переход к шагам 31, 33, 37"
31,Лицо ответственное за межведомственный документооборот,—,—,Передать для направления фельдъегерской связью,—,"Лицо, ответственное за межведомственный документооборот, передало для направления фельдъегерской связью"
32,Лицо ответственное за межведомственный документооборот,—,—,Ответ на запрос направлен фельдъегерской связью.,—,Ответ на запрос направлен фельдъегерской связью.
33,Система,—,—,Направить по системе ведомственного документооборота,—,"Лицо, ответственное за межведомственный документооборот, передает по системе ведомственного документооборота"
34,Система,—,—,Получить квитанцию о доставке,—,Система выполняет задачу: 'Получить квитанцию о доставке'.
35,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
36,Лицо ответственное за межведомственный документооборот,—,—,Ответ на запрос направлен по системе ведомственного документооборота.,—,Ответ на запрос направлен по системе ведомственного документооборота.
37,Система,—,—,Направить по электронной почте,—,Система направляет документ по электронной почте
38,Система,—,—,Получить отчет о доставке,—,Система выполняет задачу: 'Получить отчет о доставке'.
39,Лицо ответственное за межведомственный документооборот,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Подшить в номенклатурное дело
40,Система,—,—,Определить место хранения документа,—,Система определяет место хранения документа
41,Лицо ответственное за межведомственный документооборот,—,—,Ответ на запрос направлен по электронной почте.,—,Ответ на запрос направлен по электронной почте.
42,Председатель суда,—,—,Документ хранится в секретариате председателя суда? Эксклюзивный открывающий шлюз,—,Документ хранится в секретариате председателя суда?Да: переход к шагу 43Нет: переход к шагу 60
43,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
44,Председатель суда,—,—,"Внутренний служебный документ принят, используется в работе. Документ подшит в номенклатурное дело.",—,"Внутренний служебный документ принят, используется в работе. Документ подшит в номенклатурное дело."
45,Сотрудник ответственный на основании поручения,—,Повестка заседания рабочей группы,Включить в повестку заседания рабочей группы,—,"Сотрудник, ответственный на основании поручения, включает в повестку заседания рабочей группы"
46,Рабочая группа,—,Протокол заседания рабочей группы,Открыть заседание рабочей группы,—,Открывается заседание рабочей группы
47,Рабочая группа,—,—,Заслушать доклад,—,Заслушать доклад
48,Рабочая группа,—,—,Заслушать мнение членов рабочей группы,—,Заслушать мнение членов рабочей группы
49,Рабочая группа,—,Рекомендации,Принять рекомендации по вопросу,—,Рабочая группа принимает рекомендации по вопросу на повестке
50,Рабочая группа,—,—,Закрыть заседание,—,Закрыть заседание
51,Рабочая группа,—,Подписанный протокол заседания рабочей группы,Подписать протокол,—,Рабочая группа подписывает протокол заседания рабочей группы
52,Комиссия,—,—,Определить необходимость создания комиссии,—,Определить необходимость создания комиссии
53,Комиссия,—,—,Комиссия в суде создана? Эксклюзивный открывающий шлюз,—,Комиссия в суде создана?Да: переход к шагу 56Нет: переход к шагу 54
54,Комиссия,—,—,Определить состав комиссии,—,Определить состав комиссии
55,Система,—,Локальный акт о комиссии,ОБП48:Принять локальный акт,—,ОБП48:Принять локальный акт
56,Комиссия,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз, переход к шагу 57. Закрывающий шлюз, объединяющий поток из 53-го шага"
57,Комиссия,—,Служебный документ,Принять служебный документ,—,Комиссия принимает служебный документ
58,Сотрудник ответственный на основании поручения,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 51-го, 57-го шага",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 51-го, 57-го шага"
59,Система,—,"Зарегистрированный документЗарегистрированные рекомендации рабочей группы, ",Зарегистрировать рекомендации рабочей группы/ документ,—,Система выполняет задачу: 'Зарегистрировать рекомендации рабочей группы/ документ'.
60,Сотрудник ответственный на основании поручения,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 42-го, 59-го шага"
61,Сотрудник ответственный на основании поручения,—,—,Определить необходимость публикации,—,Определить необходимость публикации. Публикация во внутренней системе для судей и сотрудников суда
62,Сотрудник ответственный на основании поручения,—,—,Необходимо опубликовать рекомендации/служебный документ? Эксклюзивный открывающий шлюз,—,Необходимо опубликовать рекомендации/служебный документ?Да: переход к шагу 64Нет: переход к шагу 69
64,Сотрудник ответственный на основании поручения,—,—,Опубликовать документ,—,"Сотрудник, ответственный на основании поручения выполняет задачу: 'Опубликовать документ'."
65,Система,—,—,Уведомить сотрудников суда о публикации документа,—,Система выполняет задачу: 'Уведомить сотрудников суда о публикации документа'.
66,Система,—,—,Определить место хранения документа,—,Система выполняет задачу: 'Определить место хранения документа'.
67,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
68,Сотрудник ответственный на основании поручения,—,—,Рекомендации рабочей группы/служебный документ приняты и опубликованы. Сотрудники ознакомлены. Документ подшит в номенклатурное дело.,—,Рекомендации рабочей группы/служебный документ приняты и опубликованы. Сотрудники ознакомлены.Документ подшит в номенклатурное дело.
69,Сотрудник ответственный на основании поручения,—,—,Передать документ в подразделение суда по компетенции,—,Передать документ в подразделение суда по компетенции
70,Сотрудник ответственный на основании поручения,—,—,Кому требуется передать документ. Эксклюзивный открывающий шлюз,—,Кому требуется передать документ?Рабочая группа: переход к шагу 71Подразделение суда: переход к шагу 73Комиссия: переход к шагу 76
71,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
72,Рабочая группа,—,—,"Рекомендации рабочей группы приняты, документ подшит в номенклатурное дело. Рабочая группа использует документ в работе.",—,"Рекомендации рабочей группы приняты,документ подшит в номенклатурное дело. Рабочая группа использует документ в работе."
73,Система,—,—,Ознакомить сотрудников подразделения,—,Система знакомит сотрудников подразделения с документами
74,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
75,Руководитель структурного подразделения,—,—,"Служебный документ принят, подшит в номенклатурное дело. Подразделение использует документ в работе.",—,"Служебный документ принят, подшит в номенклатурное дело. Подразделение использует документ в работе."
76,Система,—,Номенклатурное дело,Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
77,Комиссия,—,—,"Служебный документ принят комиссией, документ подшит в номенклатурное дело. Комиссия использует документ в работе.",—,"Служебный документ принят комиссией,документ подшит в номенклатурное дело. Комиссия использует документ в работе."
