Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
11,Экспертное учреждение,-,-,Появилась необходимость направить заключение эксперта после завершения экспертизыСтартовое событие,-,"На основании проведенных исследований и с учетом их результатов эксперт от своего имени или комиссия экспертов дает заключение в письменной форме и подписывает его (ч. 1 ст. 86 АПК РФ)В заключении эксперта или комиссии экспертов должны быть отражены:1) время и место проведения судебной экспертизы;2) основания для проведения судебной экспертизы;3) сведения о государственном судебно-экспертном учреждении, об эксперте, которым поручено проведение судебной экспертизы;4) записи о предупреждении эксперта в соответствии с законодательством РФ об уголовной ответственности за дачу заведомо ложного заключения;5) вопросы, поставленные перед экспертом или комиссией экспертов;6) объекты исследований и материалы дела, предоставленные эксперту для проведения судебной экспертизы;7) содержание и результаты исследований с указанием примененных методов;8) оценка результатов исследований, выводы по поставленным вопросам и их обоснование;9) иные сведения в соответствии с федеральным законом.Материалы и документы, иллюстрирующие заключение эксперта или комиссии экспертов, прилагаются к заключению и служат его составной частью. (ч. 2 ст. 86 АПК РФ).Эксперт провел экспертизу, подготовил заключение, и у него появляется необходимость направить это заключение в суд."
12,Экспертное учреждение,-,Заключение эксперта,Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"".Эксперт/Экспертное учреждение направляет подготовленное заключение в суд.Подача документов в веб-форме с валидацией полей."
13,Экспертное учреждение,-,-,Завершение процесса.,-,Завершение процесса. Заключение направлено в суд
14,Канцелярия,Документ от эксперта,-,Получен документ,-,Суд получает документ от эксперта.
15,Канцелярия,Документ от эксперта,"Документ от эксперта, зарегистрированный в системе",Принять входящий документ,-,"Переход к типовому процессу ""Принять входящий документ"".Переход к типовому процессу «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации документа в системе.Автоматическая регистрация, контроль сроков регистрации. Автоматическое сохранение документа в соответствующей карточке дела, к которому он относится."
16,Помощник судьи,-,-,Эксклюзивный закрывающий шлюз,-,-
17,Помощник судьи,-,-,Изучить полученные документы,-,Помощник судьи анализирует поступившие документы непосредственно в ИС.
18,Помощник судьи,Документ от эксперта,-,Экспертиза готова?Эксклюзивный шлюз,-,"Помощник судьи смотрит, проведена ли экспертиза. Если да, то переход к шагу 19. Если нет, то переход к шагу 22"
19,Система,Заключение,-,Приобщить заключение эксперта к материалам дела,-,Система приобщает определение и заявление к делу 
20,Судья,-,-,Предоставить сторонам возможность ознакомиться с результатами,-,"После добавления документов экспертизы в дело, судья запускает процесс публикации заключения для ознакомления с ним сторон."
21,Система,"","",Предоставить доступ к документам сторонам ,"",Система предоставляет лицам доступ к заключению.
22,Судья,-,-,Завершение процесса. Переход к основной процесс.,-,Завершение процесса. Переход к основной процесс.
23,Помощник судьи,Документ от эксперта,-,Есть мотивированное сообщение о невозможности провести экспертизу в срок?Эксклюзивный шлюз,-,"Помощник судьи смотрит на характер документа от эксперта.Если да, то переход к шагу 23. Если нет, то переход к шагу 41"
24,Судья,-,-,Рассмотреть заявление по существу,-,"Переход к типовому процессу ""Рассмотреть заявление по существу"".В рамках процесса судья рассматривает сообщение о невозможности проведения экспертизы в срок, оценивает объективность причин, указанных в нем, и решает вопрос о возможности продления срока проведения экспертизы."
25,Судья,-,-,Требуется продлить срок проведения экспертизы?Эксклюзивный шлюз,-,"Судья по итогам рассмотрения сообщения решает, требуется ли продление срока проведения экспертизы. Если да, то переход к шагу 25. Если нет, то переход к шагу 31"
26,Судья,-,Определение,Принять СА,-,"Переход к типовому процессу ""Принять СА"".Судья формирует и подписывает определение о продлении срока проведения экспертизы с указанием новой даты окончания ее проведения.Автогенерация проекта определения по шаблону "
27,Канцелярия,-,"Определение, направленное эксперту/в экспертное учреждение",Направить документ,-,"Переход к типовому процессу ""Направить документ"".Канцелярия направляет определение суда о продлении срока эксперту/в экспертное учреждение"
28,Канцелярия,-,-,Переход к шагу 1,-,Переход к мониторингу проведения экспертизы с учетом новой даты ее проведения
29,Экспертное учреждение,Определение,-,Получено определениеСтартовое событие,-,Эксперт/Экспертное учреждение получает определение суда о продлении срока
30,Экспертное учреждение,Определение,-,Ознакомиться,-,"Эксперт/Экспертное учреждение знакомится с содержанием определения, с новой датой окончания проведения экспертизы.Данное действие может проводиться в диалоге чат бота или личного кабинета эксперта "
31,Система,"","",Передать дату и время ознакомления ,"",Система отправляет данные о дате и времени ознакомления с СА для фиксации данных в системе арбитражного суда. 
32,Экспертное учреждение,-,-,Продолжить экспертизуЗавершающее событие,-,"Эксперт продолжает проведения экспертизы, ориентируясь на новый срок"
33,Судья,-,Определение об отказе,Принять СА,-,"Переход к типовому процессу ""Принять СА"".Судья формирует и подписывает определение об отказе в продлении срока проведения экспертизы с указанием причин отказа.Автогенерация проекта определения по шаблону "
34,Канцелярия,-,-,Направить документ,-,"Переход к типовому процессу ""Направить документ"".Канцелярия направляет определение суда об отказе в продлении срока эксперту/в экспертное учреждение"
35,Канцелярия,-,-,Завершение процесса.,-,Завершение процесса. Определение направлено
36,Экспертное учреждение,Определение,-,Получено определениеСтартовое событие,-,Эксперт/Экспертное учреждение получает определение суда об отказе в продлении срока
37,Экспертное учреждение,Определение,-,Ознакомиться,-,Эксперт/Экспертное учреждение знакомится с содержанием определения.Данное действие может проводиться в диалоге чат бота или личного кабинета эксперта 
38,Система,"",-,Передать дату и время ознакомления ,"",Система отправляет данные о дате и времени ознакомления с СА для фиксации данных в системе арбитражного суда. 
39,Экспертное учреждение,-,Сообщение о невозможности дать заключение,Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"".Эксперт/Экспертное учреждение направляет в суд сообщение о невозможности дать заключение ввиду отсутствия времени на ее проведение и иных причин.Подача документов в веб-форме с валидацией полей."
40,Экспертное учреждение,-,-,Завершение процесса.,-,Завершение процесса. 
41,Канцелярия,Сообщение о невозможности дать заключение,-,Получен документСтартовое событие,-,Суд получает сообщение эксперта о невозможности дать заключение. 
42,Канцелярия,Сообщение о невозможности дать заключение,"Сообщение о невозможности дать заключение, зарегистрированное в системе",Принять входящий документ,-,"Переход к типовому процессу «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации документа в системе.Автоматическая регистрация, контроль сроков регистрации. Автоматическое сохранение документа в соответствующей карточке дела, к которому он относится."
43,Помощник судьи,-,-,Есть сообщение о невозможности дать заключение?Эксклюзивный шлюз,-,"Помощник судьи проверяет наличие в ИС сообщения о невозможности проведения экспертизы в случае отсутствия заключения для решения вопроса о наложении судебного штрафа (вопрос о наложении штрафа решает судья, помощник передает судье информацию).Если да, то переход к шагу 44. Если нет, то переход к шагу 42"
44,Судья,-,Определение о наложении судебного штрафа,Наложить судебный штраф,-,"Переход к типовому процессу ""Наложить судебный штраф""В случае невыполнения требования суда о представлении заключения эксперта в суд в срок, установленный в определении о назначении экспертизы, при отсутствии мотивированного сообщения эксперта или экспертного учреждения о невозможности своевременного проведения экспертизы либо о невозможности проведения экспертизы, судом на руководителя государственного судебно-экспертного учреждения или виновного в указанных нарушениях эксперта налагается судебный штраф в порядке и в размерах, которые установлены в главе 11 АПК РФ (ч. 6 ст. 55)В рамках процесса происходит процедура определения размера наложения судебного штрафа на виновное лицо, автоматически формируется определение о наложении судебного штрафа на основе шаблона."
45,Судья,-,-,Завершение процесса. Переход в основной процесс,-,Завершение процесса. Переход в основной процесс
46,Помощник судьи,-,-,Эксклюзивный закрывающий шлюз,-,-
47,Система,-,-,Сохранить информацию,-,Система сохраняет информацию о невозможности дать заключение.
48,Помощник судьи,-,-,Завершение процесса. Переход в основной процесс,-,Завершение процесса. Переход в основной процесс
