№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
35,Система,—,—,Выбрать документы для экспертной оценки,—,Система выполняет задачу: 'Выбрать документы для экспертной оценки'.
36,Система,—,—,Создать задачи на ответственных,—,Система выполняет задачу: 'Создать задачи на ответственных'.
37,Экспертная комиссия,—,—,Установить научную и практическую ценность документов,—,Экспертная комиссия выполняет задачу: 'Установить научную и практическую ценность документов'.
38,Экспертная комиссия,—,—,Требуется продлить срок хранения?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 40. Если нет, то переход к шагу 39"
39,Экспертная комиссия,—,—,Завершающее событие,—,—
40,Система,—,—,Сформировать шаблон экспертной оценки по документам,—,Система выполняет задачу: 'Сформировать шаблон экспертной оценки по документам'.
41,Экспертная комиссия,—,—,Вынести решение о продлении сроков хранения,—,Экспертная комиссия выполняет задачу: 'Вынести решение о продлении сроков хранения'.
42,Экспертная комиссия,—,—,Подписать документ,—,Экспертная комиссия выполняет задачу: 'Подписать документ'.
43,Специалист архива,—,—,Документы хранятся в электронном виде?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 49. шаг 44"
44,Специалист архива,—,—,Необходимо оцифровать документы?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 45. Если нет, то переход к шагу 46"
45,Специалист архива,—,—,Оцифровать документы,—,Специалист архива выполняет задачу: 'Оцифровать документы'.
46,Специалист архива,—,—,Событие. Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 44-го, 45-го шага"
47,Специалист архива,—,—,Обеспечить сохранность в соответствии с сроком хранения,—,Обеспечить сохранность в соответствии с сроком хранения
48,Специалист архива,—,—,Завершающее событие,—,—
49,Система,—,—,Обеспечить сохранность в соответствии с сроком хранения,—,Система выполняет задачу: 'Обеспечить сохранность в соответствии с сроком хранения'.
50,Специалист архива,—,—,Завершающее событие,—,Завершающее событие
