№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
14,Система,-,-,Сменить ответственного,—,"Сотрудник отдела, ответственного за закупку печатных изданий, проверяет наличие замечаний со стороны финансового отдела. Если да, то переход к шагу 21, Если нет, то переход к шагу 23"
15,Система,-,-,Создать задачу,—,—
16,Финансовый отдел,Перечень печатных изданий,—,Проверить на предмет ограничений/лимитов,—,Финансовый отдел проверяет перечень необходимых печатных изданий на предмет финансовых ограничений/лимитов в рамках бюджета.
17,Финансовый отдел,—,"",Есть препятствия для согласования перечня печатных изданий?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 18. Если нет, то переход к шагу 19"
18,Финансовый отдел,—,—,Указать замечания/предложения/исключения,—,Финансовый отдел указывает замечания/предложения/исключения к перечню печатных изданий в части ограничений и лимитов.
19,Финансовый отдел,—,—,Согласовать перечень печатных изданий,—,Финансовый отдел согласовывает перечень печатных изданий.
20,Финансовый отдел,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 18-го, 19-го шага"
21,Финансовый отдел,—,—,Изменить статус сущности,—,"Финансовый отдел направляет итоги проверки перечня необходимых печатных изданий в отдел, ответственный за закупку печатных изданий."
22,Система,-,-,Создать задачу,—,Система созадет задачу
23,"Отдел, ответственный за закупку печатных изданий",—,"",Получены замечания?. Эксклюзивный открывающий шлюз,—,"Сотрудник отдела, ответственного за закупку печатных изданий, проверяет наличие замечаний со стороны финансового отдела. Если да, то переход к шагу 24. Если нет, то переход к шагу 25"
24,"Отдел, ответственный за закупку печатных изданий",—,—,Скорректировать перечень печатных изданий,—,"Отдел, ответственный за закупку печатных изданий корректирует перечень печатных изданий с учетом замечаний/предложений финансового отдела"
25,"Отдел, ответственный за закупку печатных изданий",—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 23-го, 24-го шага"
26,"Отдел, ответственный за закупку печатных изданий",—,"",Есть замечания?. Эксклюзивный открывающий шлюз,—,"Сотрудник отдела, ответственного за закупку печатных изданий, проверяет наличие замечаний со стороны финансового отдела. Если да, то переход к шагу 27. Если нет, то переход к шагу 28"
27,"Отдел, ответственный за закупку печатных изданий",—,—,Скорректировать перечень печатных изданий,—,"Отдел, ответственный за закупку печатных изданий корректирует перечень печатных изданий с учетом замечаний/предложений финансового отдела"
28,"Отдел, ответственный за закупку печатных изданий",—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 26-го, 29-го шага"
29,"Отдел, ответственный за закупку печатных изданий",—,—,Переход из шага 12,—,Переход из шага 12
30,"Отдел, ответственный за закупку печатных изданий",—,—,"Изменить стадию сущности на ""Согласование""",—,"Отдел, ответственный за закупку печатных изданий, отправляет сводный список печатных изданий председателю суда для ознакомления и согласования"
31,Система,-,-,Создать задачу,—,Система создает задачу
32,Председатель суда,—,Сводный список печатных изданий,Ознакомиться со сводным списком,—,Председатель суда знакомится с содержанием списка печатных изданий
33,Председатель суда,—,"",Список корректен?. Эксклюзивный открывающий шлюз,—,"Председатель делает вывод о том, корректен ли список. Если да, то переход к шагу 40. Если нет, то переход к шагу 34"
34,Председатель суда,—,—,Передать замечания к сводному списку,—,Председатель суда направляет замечания к сводному списку печатных изданий
35,Система,Ответ от УСД,-,Изменить стадию,—,Система изменяет стадию после внесения замечаний
36,Система,Ответ от УСД,-,Создать задачу,—,Система создает задачу
37,"Отдел, ответственный за закупку печатных изданий",—,—,Внести изменения согласно замечаний,—,"Отдел, ответственный за закупку печатных изданий корректирует список согласно замечаниям председателя."
38,"Отдел, ответственный за закупку печатных изданий",-,-,Закрыть задачу,—,"Отдел, ответственный за закупку печатных изданий, исправляет список согласно замечаниям УСД."
39,Система,Печатные издания Акт приема-передачи,-,Уведомить о внесении изменений и статусе задачи,—,"Отдел, ответственный за закупку печатных изданий, получает физические печатные издания и соответствующий акт приема-передачи."
40,Председатель суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 33-го, 39-го шага"
41,Председатель суда,—,—,Согласовать сводный список печатных изданий,—,Председатель утверждает список печатных изданий
42,Председатель суда,—,"",Необходимо закупить через УСД?. Эксклюзивный открывающий шлюз,—,"Эксклюзивный смешанный шлюз, объединяющий потоки из 27-го, 41-го шага и разделяющий на 43-й, 59-й шаги"
43,Председатель суда,—,Сущность с переченем потребностей,Передать список для приобретения,—,Председатель суда направляет в финансовый отдел список для приобретения печатных изданий (перечень потребностей)
44,Система,-,-,Изменить стадию,—,Система изменяет стадию 
45,Система,Закупленные печатные издания и акт приема-передачи выполненных работ,-,Создать задачу,—,Система создает задачу
46,Финансовый отдел,—,Пакет документов для закупки печатных изданий,"Организовать процесс закупок товаров, работ, услуг",—,"Финансовый отдел приступает к организации закупки печатных изданий согласно полученному перечню, в том числе включая составление необходимого пакета документов."
47,Финансовый отдел,—,—,Сформировать пакет документов для осуществления закупа,—,Финансовый отдел отправляет список для закупки в отдел материально-технического обеспечения для осуществления закупки.
48,Система,-,Направленный пакет документов для закупки печатных изданий,Добавить пакет документов в сущность,—,Финансовый отдел отправляет список для закупки в отдел материально-технического обеспечения для осуществления закупки.
49,Система,Закупленные печатные издания,-,Создать задачу,—,"Отдел, ответственный за закупку печатных изданий, получает закупленные печатные издания от отдела МТО."
50,Отдел МТО,—,—,Направить документы для осуществления закупки,—,Отдел материально-технического обеспечения направляет документы подрядчику для осуществления закупки печатных изданий.
51,Отдел МТО,—,—,Ожидать поступления печатных изданий,—,Ожидать поступления печатных изданий
52,Отдел МТО,—,—,Получить печатные издания и акт-приема-передачи выполненных работ,—,Получить печатные издания и акт-приема-передачи выполненных работ
53,Отдел МТО,—,—,Ознакомиться с результатами закупки печатных изданий,—,Отдел материально-технического обеспечения ознакомляется с закупленными печатными изданиями и актом приема-передачи.
54,Отдел МТО,Акт приема-передачи выполненных работ,—,Прикрепить акт,—,Отдел материально-технического обеспечения подписывает акт приема-передачи.
55,Отдел МТО,Акт приема-передачи выполненных работ,Подписанный акт приема-передачи выполненных работ,Подписать акт приема-передачи,—,Отдел материально-технического обеспечения подписывает акт приема-передачи.
56,Отдел МТО,—,—,Передать закупленные печатные издания,—,Передать закупленные печатные издания
57,Система,-,Согласованный список печатных изданий,Уведомить о поступлении печатных изданий,—,Председатель утверждает список печатных изданий
58,"Отдел, ответственный за закупку печатных изданий",—,—,Получить закупленные печатные издания,—,Получить закупленные печатные издания
59,Председатель суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 42-го, 66-го шага"
60,Председатель суда,—,—,Передать перечень в УСД,—,Передать перечень в УСД
61,Председатель суда,—,—,Ожидать итогов проверки УСД,—,Ожидать итогов проверки УСД
62,Председатель суда,—,—,Получить итоги проверки УСД,—,Получить итоги проверки УСД
63,Председатель суда,—,"",Есть ли замечания УСД?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 64. Если нет, то переход к шагу 67"
64,Председатель суда,—,—,Передать замечания УСД для устранения,—,"Председатель суда направляет замечания УСД отделу, ответственному за закупку печатных изданий, для исправления."
65,Система,—,—,Уведомить о замечаниях,—,После внесения замечаний уведомляет ответственного 
66,"Отдел, ответственный за закупку печатных изданий",—,—,Исправить список печатных изданий согласно замечаний,—,"Отдел, ответственный за закупку печатных изданий, исправляет список согласно замечаниям УСД."
67,"Отдел, ответственный за закупку печатных изданий",Акт приема-передачи,—,Получить печатные издания и акт приема-передачи из УСД,—,Получить печатные издания и акт приема-передачи из УСД
68,"Отдел, ответственный за закупку печатных изданий",—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 58-го, 67-го шага"
69,"Отдел, ответственный за закупку печатных изданий",—,—,Сравнить полученные издания с актом приема-передачи,—,Сравнить полученные издания с актом приема-передачи
70,"Отдел, ответственный за закупку печатных изданий",—,—,Изменить статус сущности,—,"Отдел, ответственный за закупку печатных изданий, направляет акт после проверки председателю на подпись."
71,Система,—,—,Создать задачу,—,Система создает задачу
72,Председатель суда,—,—,Подписать акт приема-передачи,—,Председатель суда подписывает акт приема-передачи.
73,Председатель суда,—,—,Печатные издания закуплены и получены,—,Печатные издания закуплены и получены
